"","year","ISO","CCODE","language_type","hits_mean","hits_median","hits_max","hits_sd","HRINGO_count","theta_mean","Amnesty","State","HRW","gdp_growth","gdp_pc_currentus","gini","literacy_per","rat_sum"
"1",2012,"UG",500,"English",40.5849056603774,40,100,17.0016220518742,8,-0.34269163214391,3,3,NA,3.8374555,636.63818,41,70.198219,16
"2",2013,"UG",500,"English",30.5576923076923,28,64,13.7347611977191,NA,-0.185556343316995,NA,3,3,3.5869057,655.04956,NA,NA,16
"3",2014,"UG",500,"English",26.7307692307692,26.5,55,11.9313648030453,NA,-0.0539495532198816,3,3,3,5.1063075,702.7951,NA,NA,16
"4",2015,"UG",500,"English",22.7115384615385,22,49,8.18496119377421,10,0.0899813887695195,3,3,2,5.18786,675.12115,NA,NA,16
"5",2016,"UG",500,"English",20.6923076923077,19.5,55,9.36940884053611,NA,NA,NA,NA,NA,4.6565757,580.38354,42.799999,NA,16
"6",2012,"ZM",551,"English",26.2190566037736,19.75,79,16.3964763175308,7,-0.055523175848316,NA,3,NA,7.5976171,1734.9307,NA,NA,12
"7",2013,"ZM",551,"English",30.415,28.045,68.73,16.3530037415928,NA,0.00255650912793871,NA,3,NA,5.0593762,1850.7933,NA,NA,12
"8",2014,"ZM",551,"English",32.3292307692308,31.205,60.83,12.5835731460572,NA,0.0723234528734632,3,3,NA,4.6958265,1738.0883,NA,NA,12
"9",2015,"ZM",551,"English",33.4990384615385,33.97,65.57,16.0674666133476,8,0.179205293062192,2,3,NA,2.9198811,1313.8896,57.099998,NA,12
"10",2016,"ZM",551,"English",30.0959615384615,29.23,60.83,10.8469038249045,NA,NA,NA,NA,NA,3.7571778,1262.9896,NA,NA,12
"11",2012,"ZW",552,"English",22.1732075471698,21.44,60.3,11.4582086419745,6,-0.620965124351026,3,4,NA,14.779595,968.16388,NA,NA,11
"12",2013,"ZW",552,"English",20.8988461538462,19.765,54.94,11.1806137636862,NA,-0.41071415731583,NA,3,3,5.5297871,1026.3883,NA,NA,14
"13",2014,"ZW",552,"English",21.0534615384615,20.77,67,10.9413326579455,NA,-0.338873610761555,3,3,3,2.127084,1031.1046,NA,88.69342,14
"14",2015,"ZW",552,"English",21.5688461538462,21.44,50.25,10.5110840943555,8,-0.419316038904131,3,4,3,1.6895946,1033.4159,NA,NA,14
"15",2016,"ZW",552,"English",21.8265384615385,20.77,50.25,10.7038504863337,NA,NA,NA,NA,NA,0.61571378,1029.0767,NA,NA,14
"16",2012,"ZA",560,"English",6.94358490566038,5.17,31.02,4.92909263546533,9,-0.447761001267647,3,4,NA,2.2133536,7478.2275,NA,93.729469,14
"17",2013,"ZA",560,"English",5.83884615384615,5.17,24.91,3.74655117426113,NA,-0.372876607278828,NA,4,2,2.4851859,6822.5249,NA,NA,14
"18",2014,"ZA",560,"English",6.18230769230769,4.7,24.91,4.79432941819143,NA,-0.316994358608546,3,3,3,1.8470085,6433.9443,63,94.1399,14
"19",2015,"ZA",560,"English",5.35980769230769,4.23,17.86,4.07325494471504,13,-0.395708882034581,3,4,3,1.2795383,5746.6812,NA,94.36792,15
