country_2017,estimate,lower_bound,upper_bound
Afghanistan,298,110,510
Algeria,0,,
Angola,13316,9970,16600
Argentina,0,,
Armenia,0,,
Azerbaijan,0,,
Bangladesh,76,3,130
Belize,0,,
Benin,7328,5740,8920
Bhutan,0,,
Bolivia (Plurinational State of),2,0,4
Botswana,7,0,20
Brazil,30,,
Burkina Faso,27791,25100,30500
Burundi,5253,4300,6200
Cabo Verde,1,,
Cambodia,345,30,590
Cameroon,11566,8900,14200
Central African Republic,4804,3980,5640
Chad,8729,6640,10800
China,0,,
Colombia,0,,
Comoros,8,0,10
Congo,1993,1790,2190
Costa Rica,0,,
Cote d'Ivoire,9579,8090,11100
Democratic People's Republic of Korea,0,,
Democratic Republic of the Congo,46007,35400,56600
Djibouti,0,,
Dominican Republic,1,0,1
Ecuador,0,,
Egypt,0,,
El Salvador,0,,
Equatorial Guinea,669,530,810
Eritrea,222,10,460
Eswatini,1,0,2
Ethiopia,5369,80,16700
Gabon,505,450,560
Gambia,674,580,760
Georgia,0,,
Ghana,10917,10100,11800
Guatemala,1,0,3
Guinea,7562,6180,8950
Guinea-Bissau,688,590,780
Guyana,33,3,60
Haiti,81,2,160
Honduras,1,0,1
India,16733,1200,31900
Indonesia,2680,200,5110
Iran (Islamic Republic of),0,,
Iraq,0,,
Kazakhstan,0,,
Kenya,12467,11200,13700
Kyrgyzstan,0,,
Lao People's Democratic Republic,30,2,60
Liberia,2227,1910,2540
Madagascar,5950,190,11200
Malawi,7077,6060,8090
Malaysia,10,,
Mali,12425,9870,15000
Mauritania,1421,1230,1610
Mexico,0,,
Morocco,0,,
Mozambique,14713,12200,17200
Myanmar,218,10,390
Namibia,229,7,420
Nepal,1,0,3
Nicaragua,10,2,20
Niger,17155,13000,21300
Nigeria,81640,64400,98800
Oman,0,,
Pakistan,805,160,1480
Panama,0,,
Papua New Guinea,3053,170,6120
Paraguay,0,,
Peru,10,,
Philippines,34,1,60
Republic of Korea,0,,
Rwanda,3270,2990,3550
Sao Tome and Principe,0,,
Saudi Arabia,0,,
Senegal,4523,4060,4980
Sierra Leone,17590,16200,19000
Solomon Islands,134,20,260
Somalia,1386,40,3100
South Africa,274,,
South Sudan,6069,5220,6920
Sri Lanka,0,,
Sudan,3885,110,8940
Suriname,0,,
Syrian Arab Republic,0,,
Tajikistan,0,,
Thailand,11,,
Timor-Leste,0,,
Togo,5341,4360,6330
Turkey,0,,
Turkmenistan,0,,
Uganda,14390,11800,16900
United Arab Emirates,0,,
United Republic of Tanzania,22301,19800,24800
Uzbekistan,0,,
Vanuatu,2,0,3
Venezuela (Bolivarian Republic of),456,80,790
Viet Nam,9,0,20
Yemen,1926,70,3760
Zambia,7618,6600,8630
Zimbabwe,3172,90,6410
