"Date","Google","Yahoo!","bing","Ask Jeeves","Webcrawler","Baidu","MSN","Babylon","DuckDuckGo","YANDEX RU","Conduit","MySearchResults","Haosou","SweetIM","AVG Search","Other"
2013-01,83.22,7.87,4.06,1.61,0,0.07,0,2.07,0,0.02,0.65,0,0.02,0.36,0,0.04
2013-02,84.29,6.48,4.08,1.35,0.09,0.07,0,2.38,0,0.09,0.58,0,0.02,0.42,0,0.15
2013-03,87.05,6.13,3.95,0.32,0.02,0.07,0,1.58,0,0.06,0.58,0,0.02,0.17,0,0.04
2013-04,87.44,6.64,4.03,0.17,0.04,0.08,0,0.76,0,0.06,0.51,0,0.02,0.2,0,0.04
2013-05,86.76,7.1,4.41,0.23,0.09,0.11,0,0.71,0,0.09,0.37,0,0.02,0.09,0,0.03
2013-06,86.91,7.33,4.24,0.17,0.17,0.03,0,0.54,0,0.06,0.32,0,0.01,0.17,0.01,0.05
2013-07,87.03,7.03,3.88,0.25,0.52,0.12,0,0.54,0,0.1,0.36,0,0.02,0.06,0.03,0.06
2013-08,86.56,6.79,4.49,0.18,0.68,0.03,0,0.63,0,0.07,0.41,0,0.01,0.13,0,0.03
2013-09,84.75,7.75,5.61,0.22,1.06,0.06,0,0.27,0.01,0.05,0.17,0,0.01,0.01,0,0.04
2013-10,83.32,8.35,4.33,1.71,0.78,0.06,0,0.3,0,0.1,0.19,0.11,0.01,0.02,0.14,0.56
2013-11,83.34,8.31,4.56,1.68,0.62,0.04,0,0.42,0.01,0.14,0.2,0.27,0.01,0.01,0.1,0.29
2013-12,84.1,8.29,3.91,1.65,0.78,0.13,0,0.01,0,0.05,0.24,0.23,0.08,0.06,0.09,0.38
2014-01,84.95,7.78,3.79,1.53,0.6,0.23,0,0.02,0,0.11,0.14,0.44,0.01,0.02,0.09,0.29
2014-02,89.62,3.42,3.7,1.6,0.79,0.05,0,0.01,0,0.14,0.12,0.28,0.01,0.01,0.08,0.19
2014-03,86.54,6.49,4,1.98,0.23,0.11,0,0.01,0.05,0.06,0.16,0.1,0,0.01,0.09,0.18
2014-04,87.87,6.14,3.8,1.37,0.29,0.04,0,0,0.04,0.06,0.1,0.05,0.01,0.03,0.03,0.18
2014-05,86.94,6.21,4.3,1.6,0.45,0.05,0,0,0.04,0.05,0.15,0.03,0,0.01,0.04,0.15
2014-06,86.74,6.41,4.41,1.51,0.44,0.14,0,0.01,0.02,0.09,0.05,0.03,0,0.02,0.02,0.11
2014-07,85.1,8.12,4.31,1.31,0.6,0.2,0,0,0,0.09,0.05,0.02,0,0,0.04,0.15
2014-08,85.64,8.28,3.84,1.2,0.68,0.07,0,0.01,0.02,0.05,0.01,0.01,0.01,0,0.07,0.12
2014-09,85.61,7.88,4.16,1.6,0.46,0.06,0,0,0.01,0.05,0,0.07,0.01,0,0.04,0.06
2014-10,83.19,9.4,5.38,1.3,0.42,0.07,0.02,0,0.01,0.04,0,0.04,0.01,0,0.04,0.07
2014-11,85.96,7.6,4.65,1.1,0.41,0.04,0.01,0,0.01,0.08,0,0.01,0.01,0.01,0.02,0.08
2014-12,85.16,7.92,4.82,1.46,0.4,0.04,0.01,0,0,0.08,0,0.01,0,0,0.02,0.08
2015-01,84.88,8.18,4.48,1.74,0.45,0.04,0.01,0,0.04,0.03,0,0.01,0,0,0.07,0.06
2015-02,84.92,7.64,5.06,1.69,0.41,0.05,0.04,0,0.02,0.04,0,0.01,0.01,0,0.02,0.1
2015-03,86.16,6.91,4.72,1.52,0.38,0.05,0.01,0,0.02,0.09,0,0.01,0.03,0,0.03,0.05
2015-04,87.33,5.98,4.7,1.38,0.4,0.03,0.01,0,0.02,0.09,0,0,0,0.01,0.01,0.04
2015-05,87.98,5.97,4.37,1.08,0.35,0.07,0.02,0,0.02,0.08,0,0.01,0,0,0,0.03
2015-06,91.91,3.83,3.2,0.55,0.25,0.1,0.01,0,0.03,0.03,0,0,0.03,0,0.04,0.04
2015-07,91.35,4.39,3.34,0.65,0.09,0.06,0.01,0,0.01,0.04,0,0,0,0,0.01,0.05
2015-08,94.16,2.66,2.42,0.43,0.13,0.07,0.02,0,0.06,0.03,0,0,0,0,0,0.03
2015-09,94.44,2.26,2.62,0.37,0.14,0.04,0.01,0,0.06,0.03,0,0,0,0,0.01,0.03
2015-10,95.29,1.95,2.02,0.37,0.14,0.03,0,0,0.08,0.07,0,0,0,0,0,0.05
2015-11,93.36,2.65,2.97,0.53,0.2,0.08,0.05,0,0.11,0.02,0,0,0,0,0,0.02
