"Date","Google","bing","Yahoo!","Ask Jeeves","Conduit","DuckDuckGo","Babylon","Webcrawler","SweetIM","MSN","Alot Search","AVG Search","MySearchResults","Other"
2013-01,95.35,2.46,1.12,0.5,0.27,0,0.05,0.01,0.17,0,0.07,0,0,0.02
2013-02,94.8,2.95,1.15,0.53,0.25,0,0.04,0.02,0.16,0,0.07,0,0,0.02
2013-03,95.21,2.96,1.19,0.15,0.21,0,0.04,0.02,0.13,0,0.08,0,0,0.02
2013-04,95.55,2.76,1.13,0.03,0.17,0,0.16,0.01,0.1,0,0.07,0,0,0.02
2013-05,95.46,2.86,1.18,0.03,0.14,0,0.21,0,0.03,0,0.06,0,0,0.02
2013-06,95.36,2.89,1.22,0.04,0.11,0,0.22,0.01,0.05,0,0.06,0,0,0.02
2013-07,95.8,2.52,1.21,0.03,0.11,0,0.21,0.01,0.05,0,0.05,0,0,0.02
2013-08,95.96,2.39,1.2,0.02,0.09,0,0.2,0.03,0.03,0,0.04,0,0,0.03
2013-09,95.9,2.44,1.27,0.04,0.07,0.01,0.14,0.04,0.02,0,0.04,0,0,0.02
2013-10,94.45,2.6,1.53,0.76,0.07,0.01,0.08,0.04,0.02,0,0.03,0.09,0.12,0.21
2013-11,94.19,2.72,1.75,0.79,0.06,0.01,0.06,0.05,0.02,0,0.03,0.08,0.12,0.12
2013-12,94.39,2.72,1.59,0.75,0.06,0.01,0,0.08,0.02,0,0.03,0.07,0.1,0.18
2014-01,95.11,2.5,1.17,0.79,0.05,0.01,0,0.06,0.01,0,0.03,0.06,0.08,0.14
2014-02,95.43,2.31,1.08,0.84,0.05,0.01,0,0.05,0.01,0,0.02,0.04,0.05,0.1
2014-03,95.08,2.48,1.22,0.92,0.04,0.01,0,0.03,0.01,0,0.02,0.04,0.04,0.11
2014-04,95.01,2.51,1.23,1,0.04,0.01,0,0.03,0.01,0,0.01,0.03,0.03,0.09
2014-05,94.95,2.46,1.29,1.03,0.04,0.02,0,0.05,0.01,0,0.01,0.04,0.02,0.08
2014-06,95.24,2.35,1.25,0.91,0.03,0.01,0,0.07,0.01,0,0.01,0.04,0.02,0.07
2014-07,95.26,2.33,1.26,0.96,0.02,0.01,0,0.05,0.01,0,0.01,0.03,0.01,0.06
2014-08,95.36,2.21,1.31,0.93,0.02,0.01,0,0.06,0.01,0,0.01,0.03,0.01,0.05
2014-09,95.58,2.13,1.28,0.86,0,0.01,0,0.04,0,0,0.01,0.02,0.01,0.05
2014-10,95.54,2,1.42,0.88,0,0.01,0,0.05,0,0.01,0.01,0.02,0.01,0.05
2014-11,94.97,2.26,1.56,1.04,0,0.01,0,0.04,0,0.02,0.01,0.02,0.01,0.05
2014-12,94.85,2.22,1.64,1.1,0,0.01,0,0.06,0.01,0.02,0.01,0.01,0.01,0.06
