"Date","Google","Yahoo!","bing","Ask Jeeves","Webcrawler","Conduit","Babylon","DuckDuckGo","Delta Search","MySearchResults","YANDEX RU","Baidu","Other"
2013-01,97.91,0.28,0.78,0.49,0,0.39,0.05,0,0,0,0.01,0,0.08
2013-02,97.8,0.3,0.9,0.53,0.01,0.32,0.04,0,0,0,0.01,0,0.09
2013-03,98.3,0.31,0.94,0.13,0.01,0.22,0.02,0,0,0,0.01,0,0.06
2013-04,98.35,0.29,0.85,0.05,0.01,0.16,0.22,0,0,0,0.01,0,0.05
2013-05,98.29,0.34,0.89,0.04,0.01,0.14,0.26,0,0,0,0.01,0,0.03
2013-06,98,0.38,1.07,0.05,0.01,0.11,0.33,0,0,0,0.01,0,0.03
2013-07,97.88,0.36,1.24,0.05,0.03,0.11,0.31,0,0,0,0.01,0,0.03
2013-08,97.85,0.4,1.25,0.04,0.06,0.09,0.26,0,0,0,0.01,0,0.03
2013-09,97.64,0.48,1.44,0.05,0.08,0.08,0.16,0,0.01,0,0.01,0,0.03
2013-10,95.8,1.24,1.4,0.69,0.09,0.07,0.09,0,0.2,0.15,0.02,0,0.25
2013-11,95.21,1.72,1.46,0.81,0.13,0.06,0.08,0,0,0.21,0.01,0,0.3
2013-12,95.87,0.89,1.5,0.81,0.24,0.07,0,0,0.17,0.23,0.01,0,0.2
2014-01,96.12,0.86,1.36,0.91,0.22,0.06,0,0,0.15,0.17,0.02,0.01,0.12
2014-02,96.39,0.73,1.32,0.94,0.19,0.06,0,0,0.12,0.13,0.02,0,0.09
2014-03,96.03,1.16,1.39,0.92,0.06,0.05,0,0.01,0.09,0.06,0.02,0.01,0.21
2014-04,95.69,1.55,1.48,0.94,0.05,0.04,0,0.01,0.07,0.04,0.02,0.01,0.1
2014-05,96.07,1.35,1.36,0.88,0.11,0.03,0,0.01,0.06,0.03,0.02,0.01,0.06
2014-06,96.1,1.28,1.28,1,0.15,0.03,0,0.01,0.05,0.03,0.02,0.01,0.06
2014-07,95.98,1.45,1.3,0.96,0.16,0.02,0,0.01,0.04,0.02,0.02,0.01,0.04
2014-08,95.56,1.78,1.59,0.72,0.2,0.01,0,0.01,0.04,0.02,0.02,0.01,0.05
2014-09,96.07,1.57,1.43,0.7,0.11,0,0,0.01,0.03,0.02,0.02,0.01,0.04
2014-10,95.89,1.75,1.29,0.78,0.16,0,0,0.01,0.03,0.02,0.02,0.01,0.04
2014-11,95.4,1.88,1.29,1.12,0.17,0,0,0.01,0.04,0.02,0.02,0.01,0.04
2014-12,95.53,1.79,1.28,1.13,0.15,0,0,0,0.03,0.01,0.02,0.01,0.04
2015-01,95.14,1.94,1.49,1.19,0.13,0,0,0.01,0.02,0.01,0.02,0.01,0.04
2015-02,95.3,1.79,1.41,1.24,0.13,0,0,0.01,0.02,0.01,0.02,0.02,0.04
2015-03,95.36,1.74,1.33,1.3,0.15,0,0,0.02,0.02,0.01,0.02,0.02,0.04
2015-04,95.41,1.82,1.33,1.22,0.09,0,0,0.02,0.02,0.01,0.02,0.02,0.04
2015-05,95.68,1.76,1.31,1.05,0.07,0,0,0.02,0.02,0.01,0.02,0.02,0.03
2015-06,96.54,1.26,1.27,0.78,0.05,0,0,0.02,0.01,0.01,0.02,0.01,0.03
2015-07,96.52,1.36,1.38,0.6,0.03,0,0,0.01,0.02,0.01,0.02,0.02,0.03
