"Date","Google","Baidu","Yahoo!","bing","YANDEX","Haosou","Naver","Ask Jeeves","Shenma","Sogou","YANDEX RU","Daum","Conduit","Mail.ru","DuckDuckGo","Babylon","Webcrawler","CocCoc","SweetIM","Other"
2013-01,92.55,1.8,2.28,0.95,0.63,0.31,0.09,0.29,0,0,0.07,0.06,0.54,0,0,0.28,0,0,0.13,0.02
2013-02,91.92,2.13,2.45,1.03,0.66,0.46,0.12,0.29,0,0,0.07,0.06,0.43,0,0,0.23,0.01,0,0.11,0.02
2013-03,91.86,2.52,2.41,0.99,0.63,0.69,0.12,0.06,0,0,0.07,0.05,0.35,0,0,0.16,0.01,0,0.08,0.02
2013-04,92.34,2.3,2.21,0.98,0.67,0.64,0.11,0.02,0,0,0.06,0.09,0.29,0,0,0.17,0.02,0,0.07,0.02
2013-05,92.34,2.32,2.18,0.99,0.74,0.63,0.17,0.02,0,0,0.06,0.08,0.24,0,0,0.18,0.01,0,0.04,0.01
2013-06,92.33,2.41,2.13,0.96,0.71,0.54,0.27,0.02,0,0,0.07,0.05,0.21,0,0,0.2,0.04,0,0.05,0.01
2013-07,92.18,2.51,2.23,1,0.5,0.48,0.41,0.02,0,0,0.07,0.08,0.18,0,0,0.19,0.07,0,0.05,0.01
2013-08,92.21,2.54,2.17,0.98,0.61,0.35,0.49,0.01,0,0,0.07,0.07,0.15,0,0,0.18,0.1,0,0.04,0.01
2013-09,91.76,2.51,2.35,1.07,0.7,0.37,0.63,0.02,0,0,0.06,0.09,0.12,0,0,0.14,0.13,0,0.02,0.02
2013-10,88.98,2.42,2.77,1.08,0.68,1.59,0.65,0.57,0,0.15,0.06,0.06,0.1,0.08,0,0.1,0.11,0,0.02,0.58
2013-11,89.53,2.35,2.68,1.07,0.73,1.35,0.56,0.54,0,0.19,0.06,0.06,0.09,0.1,0,0.07,0.11,0,0.01,0.47
2013-12,90.37,2.18,2.42,1.05,0.74,1.21,0.49,0.46,0,0.22,0.06,0.04,0.07,0.09,0,0.05,0.14,0,0.01,0.39
2014-01,90.72,2.11,2.32,1.03,0.83,1.01,0.59,0.46,0,0.22,0.07,0.04,0.06,0.1,0,0.04,0.13,0,0.01,0.26
2014-02,90.5,2.34,2.41,1.09,0.77,0.94,0.58,0.48,0,0.25,0.07,0.04,0.06,0.09,0,0.04,0.13,0,0.01,0.21
2014-03,89.97,2.39,2.63,1.2,0.93,1.01,0.52,0.55,0,0.24,0.09,0.04,0.05,0.08,0.01,0.03,0.05,0,0.01,0.2
2014-04,91.07,1.56,2.42,1.18,1.25,0.9,0.43,0.52,0,0.19,0.09,0.04,0.04,0.07,0.01,0.02,0.03,0,0.01,0.15
2014-05,91.73,1.28,2.52,1.25,1.13,0.35,0.55,0.53,0,0.15,0.1,0.04,0.04,0.07,0.01,0.02,0.08,0,0.01,0.13
2014-06,92.21,1.2,2.45,1.26,0.89,0.29,0.56,0.5,0,0.16,0.1,0.04,0.03,0.07,0.01,0.02,0.1,0,0.01,0.11
2014-07,91.67,1.4,2.79,1.24,0.89,0.31,0.52,0.51,0,0.2,0.11,0.04,0.02,0.07,0,0.02,0.08,0,0,0.11
2014-08,92.03,1.33,2.62,1.25,0.95,0.28,0.48,0.45,0,0.2,0.1,0.04,0.02,0.06,0,0.01,0.08,0,0,0.09
2014-09,92.2,1.33,2.7,1.25,0.8,0.27,0.45,0.46,0,0.2,0.1,0.03,0,0.06,0,0.01,0.04,0,0.01,0.09
2014-10,92.48,1.23,2.67,1.17,0.83,0.24,0.44,0.42,0,0.19,0.09,0.03,0,0.06,0.01,0.01,0.04,0,0,0.08
2014-11,92.41,1.31,2.62,1.19,0.84,0.26,0.37,0.5,0,0.21,0.08,0.03,0,0.06,0,0.01,0.04,0,0,0.07
2014-12,91.79,1.57,2.9,1.25,0.74,0.29,0.39,0.56,0,0.23,0.08,0.03,0,0.07,0,0.01,0.05,0,0,0.06
2015-01,92.13,1.63,2.83,1.19,0.7,0.05,0.45,0.52,0,0.2,0.08,0.03,0,0.07,0.01,0.01,0.04,0,0,0.07
2015-02,91.9,2.06,2.69,1.09,0.58,0.16,0.48,0.55,0,0.22,0.07,0.02,0,0.07,0.01,0.01,0.04,0,0,0.06
2015-03,91.82,2.17,2.57,1.01,0.54,0.35,0.39,0.6,0,0.27,0.07,0.02,0,0.06,0.01,0.01,0.04,0,0,0.05
2015-04,92.11,1.93,2.4,0.91,0.86,0.36,0.36,0.57,0,0.26,0.07,0.02,0,0.06,0.01,0.01,0.04,0,0,0.05
