"Date","Google","bing","Yahoo!","DuckDuckGo","Baidu","Ask Jeeves","Conduit","MSN","Webcrawler","AVG Search","Haosou","Norton Safe Search","Snap.do","Dogpile","Babylon","Naver","Other"
2013-01,92.92,3.8,1.92,0,0.07,0.27,0.69,0,0.01,0.01,0.01,0,0,0,0.17,0.01,0.13
2013-02,92.31,4.41,2.03,0,0.09,0.23,0.64,0,0.01,0.01,0.01,0,0,0,0.14,0.01,0.11
2013-03,93.05,3.95,2.05,0,0.12,0.06,0.53,0,0.01,0.01,0.02,0,0,0,0.11,0.01,0.1
2013-04,92.97,3.96,2.22,0,0.12,0.03,0.48,0,0.02,0.01,0.01,0,0,0,0.1,0.01,0.09
2013-05,92.87,4.15,2.22,0,0.11,0.03,0.41,0,0.02,0.01,0.01,0,0,0,0.1,0.01,0.07
2013-06,92.45,4.25,2.53,0.04,0.11,0.03,0.35,0,0.04,0,0.01,0,0,0,0.11,0.01,0.08
2013-07,92.21,4.37,2.66,0.02,0.12,0.03,0.32,0,0.07,0,0.01,0,0,0,0.1,0.01,0.08
2013-08,92.83,4.05,2.49,0.01,0.12,0.02,0.25,0,0.08,0,0.01,0,0,0,0.07,0.01,0.06
2013-09,92.98,4.37,2.02,0.02,0.13,0.02,0.21,0,0.11,0,0.01,0,0,0,0.06,0.01,0.05
2013-10,92.88,4.05,1.52,0.02,0.13,0.38,0.17,0,0.1,0.18,0.01,0.03,0.15,0.03,0.04,0.01,0.29
2013-11,92.9,4.09,1.47,0.02,0.13,0.39,0.16,0,0.11,0.16,0.01,0.03,0.18,0.04,0.04,0.01,0.25
2013-12,93.15,4.03,1.46,0.02,0.12,0.3,0.14,0,0.14,0.14,0.01,0.03,0.19,0.03,0,0.01,0.21
2014-01,93.38,4.08,1.4,0.02,0.11,0.27,0.13,0,0.13,0.12,0.01,0.03,0.15,0.03,0,0.01,0.13
2014-02,93.32,4.16,1.42,0.04,0.14,0.31,0.11,0,0.1,0.11,0.01,0.02,0.11,0.03,0,0.01,0.1
2014-03,93.32,3.84,1.42,0.08,0.17,0.36,0.1,0,0.12,0.1,0.01,0.02,0.09,0.09,0,0.01,0.25
2014-04,93.46,3.49,1.38,0.09,0.14,0.39,0.08,0,0.32,0.09,0.01,0.02,0.11,0.27,0,0.01,0.14
2014-05,93.82,3.61,1.42,0.11,0.13,0.34,0.07,0,0.13,0.08,0.01,0.02,0.09,0.08,0,0.01,0.07
2014-06,94.06,3.57,1.44,0.08,0.12,0.31,0.06,0,0.07,0.07,0.01,0.02,0.07,0.02,0,0.01,0.07
2014-07,93.75,3.69,1.58,0.05,0.15,0.33,0.06,0,0.11,0.07,0.04,0.02,0.07,0.02,0,0.01,0.07
2014-08,93.78,3.68,1.56,0.05,0.16,0.31,0.04,0,0.07,0.06,0.1,0.02,0.06,0.02,0,0.01,0.09
2014-09,93.68,3.66,1.63,0.06,0.17,0.31,0,0,0.03,0.06,0.1,0.03,0.05,0.02,0,0.01,0.19
2014-10,93.81,3.7,1.58,0.08,0.18,0.3,0,0.01,0.02,0.06,0.09,0.03,0.05,0.02,0,0.01,0.07
2014-11,93.44,4,1.59,0.07,0.21,0.33,0,0.01,0.03,0.05,0.09,0.03,0.04,0.03,0,0.01,0.07
2014-12,93.46,3.91,1.69,0.06,0.2,0.33,0,0.01,0.04,0.05,0.09,0.03,0.03,0.03,0,0.01,0.06
2015-01,93.5,4.05,1.57,0.1,0.19,0.31,0,0.01,0.03,0.05,0.05,0.03,0.03,0.03,0,0.01,0.06
2015-02,93.38,4.29,1.4,0.09,0.24,0.3,0,0.01,0.04,0.04,0.05,0.04,0.02,0.03,0.01,0.01,0.06
