"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"ABW","Aruba",105366,NA,NA,NA,NA,0,"Aruba","Aruba",NA,"paludisme","world","web"
"AFG","Afghanistan",36296400,"Afghanistan",298,110,510,0.821018062397373,"Afghanistan","Afghanistan",NA,"paludisme","world","web"
"AGO","Angola",29816748,"Angola",13316,9970,16600,44.659464539862,"Angola","Angola",2,"paludisme","world","web"
"AIA",NA,NA,NA,NA,NA,NA,NA,"Anguilla","Anguilla",NA,"paludisme","world","web"
"ALA",NA,NA,NA,NA,NA,NA,NA,NA,"Åland Islands",NA,"paludisme","world","web"
"ALB","Albania",2873457,NA,NA,NA,NA,0,"Albania","Albania",NA,"paludisme","world","web"
"AND","Andorra",77001,NA,NA,NA,NA,0,"Andorra","Andorra",NA,"paludisme","world","web"
"ARB","Arab World",411898965,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"ARE","United Arab Emirates",9487203,"United Arab Emirates",0,NA,NA,0,"United Arab Emirates","United Arab Emirates",0.5,"paludisme","world","web"
"ARG","Argentina",44044811,"Argentina",0,NA,NA,0,"Argentina","Argentina",NA,"paludisme","world","web"
"ARM","Armenia",2944809,"Armenia",0,NA,NA,0,"Armenia","Armenia",NA,"paludisme","world","web"
"ASM","American Samoa",55620,NA,NA,NA,NA,0,"American Samoa","American Samoa",NA,"paludisme","world","web"
"ATA",NA,NA,NA,NA,NA,NA,NA,"Antarctica","Antarctica",NA,"paludisme","world","web"
"ATF",NA,NA,NA,NA,NA,NA,NA,"French Southern and Antarctic Lands","French Southern Territories",NA,"paludisme","world","web"
"ATG","Antigua and Barbuda",95426,NA,NA,NA,NA,0,"Antigua","Antigua & Barbuda",NA,"paludisme","world","web"
"AUS","Australia",24601860,NA,NA,NA,NA,0,"Australia","Australia",NA,"paludisme","world","web"
"AUT","Austria",8797566,NA,NA,NA,NA,0,"Austria","Austria",NA,"paludisme","world","web"
"AZE","Azerbaijan",9854033,"Azerbaijan",0,NA,NA,0,"Azerbaijan","Azerbaijan",NA,"paludisme","world","web"
"BDI","Burundi",10827024,"Burundi",5253,4300,6200,48.5174873538657,"Burundi","Burundi",100,"paludisme","world","web"
"BEL","Belgium",11375158,NA,NA,NA,NA,0,"Belgium","Belgium",2,"paludisme","world","web"
"BEN","Benin",11175204,"Benin",7328,5740,8920,65.573747020636,"Benin","Benin",69,"paludisme","world","web"
"BES",NA,NA,NA,NA,NA,NA,NA,NA,"Caribbean Netherlands",NA,"paludisme","world","web"
"BFA","Burkina Faso",19193284,"Burkina Faso",27791,25100,30500,144.795439904917,"Burkina Faso","Burkina Faso",58,"paludisme","world","web"
"BGD","Bangladesh",159670593,"Bangladesh",76,3,130,0.0475979944534934,"Bangladesh","Bangladesh",NA,"paludisme","world","web"
"BGR","Bulgaria",7075947,NA,NA,NA,NA,0,"Bulgaria","Bulgaria",NA,"paludisme","world","web"
"BHR","Bahrain",1494074,NA,NA,NA,NA,0,"Bahrain","Bahrain",NA,"paludisme","world","web"
"BHS","Bahamas, The",381761,NA,NA,NA,NA,0,"Bahamas","Bahamas",NA,"paludisme","world","web"
"BIH","Bosnia and Herzegovina",3351527,NA,NA,NA,NA,0,"Bosnia and Herzegovina","Bosnia & Herzegovina",NA,"paludisme","world","web"
"BLM",NA,NA,NA,NA,NA,NA,NA,"Saint Barthelemy","St. Barthélemy",NA,"paludisme","world","web"
