"date","hits","keyword","geo","time","gprop","category"
2012-01-01,77,"human rights","world","2012-01-01 2021-12-31","web",0
2012-02-01,90,"human rights","world","2012-01-01 2021-12-31","web",0
2012-03-01,100,"human rights","world","2012-01-01 2021-12-31","web",0
2012-04-01,88,"human rights","world","2012-01-01 2021-12-31","web",0
2012-05-01,88,"human rights","world","2012-01-01 2021-12-31","web",0
2012-06-01,68,"human rights","world","2012-01-01 2021-12-31","web",0
2012-07-01,59,"human rights","world","2012-01-01 2021-12-31","web",0
2012-08-01,60,"human rights","world","2012-01-01 2021-12-31","web",0
2012-09-01,73,"human rights","world","2012-01-01 2021-12-31","web",0
2012-10-01,84,"human rights","world","2012-01-01 2021-12-31","web",0
2012-11-01,84,"human rights","world","2012-01-01 2021-12-31","web",0
2012-12-01,68,"human rights","world","2012-01-01 2021-12-31","web",0
2013-01-01,71,"human rights","world","2012-01-01 2021-12-31","web",0
2013-02-01,85,"human rights","world","2012-01-01 2021-12-31","web",0
2013-03-01,97,"human rights","world","2012-01-01 2021-12-31","web",0
2013-04-01,86,"human rights","world","2012-01-01 2021-12-31","web",0
2013-05-01,80,"human rights","world","2012-01-01 2021-12-31","web",0
2013-06-01,65,"human rights","world","2012-01-01 2021-12-31","web",0
2013-07-01,58,"human rights","world","2012-01-01 2021-12-31","web",0
2013-08-01,57,"human rights","world","2012-01-01 2021-12-31","web",0
2013-09-01,70,"human rights","world","2012-01-01 2021-12-31","web",0
2013-10-01,82,"human rights","world","2012-01-01 2021-12-31","web",0
2013-11-01,80,"human rights","world","2012-01-01 2021-12-31","web",0
2013-12-01,77,"human rights","world","2012-01-01 2021-12-31","web",0
2014-01-01,70,"human rights","world","2012-01-01 2021-12-31","web",0
2014-02-01,84,"human rights","world","2012-01-01 2021-12-31","web",0
2014-03-01,87,"human rights","world","2012-01-01 2021-12-31","web",0
2014-04-01,79,"human rights","world","2012-01-01 2021-12-31","web",0
2014-05-01,88,"human rights","world","2012-01-01 2021-12-31","web",0
2014-06-01,64,"human rights","world","2012-01-01 2021-12-31","web",0
2014-07-01,60,"human rights","world","2012-01-01 2021-12-31","web",0
2014-08-01,59,"human rights","world","2012-01-01 2021-12-31","web",0
2014-09-01,75,"human rights","world","2012-01-01 2021-12-31","web",0
2014-10-01,85,"human rights","world","2012-01-01 2021-12-31","web",0
2014-11-01,82,"human rights","world","2012-01-01 2021-12-31","web",0
2014-12-01,72,"human rights","world","2012-01-01 2021-12-31","web",0
2015-01-01,70,"human rights","world","2012-01-01 2021-12-31","web",0
2015-02-01,78,"human rights","world","2012-01-01 2021-12-31","web",0
2015-03-01,85,"human rights","world","2012-01-01 2021-12-31","web",0
2015-04-01,82,"human rights","world","2012-01-01 2021-12-31","web",0
2015-05-01,96,"human rights","world","2012-01-01 2021-12-31","web",0
2015-06-01,68,"human rights","world","2012-01-01 2021-12-31","web",0
2015-07-01,56,"human rights","world","2012-01-01 2021-12-31","web",0
2015-08-01,54,"human rights","world","2012-01-01 2021-12-31","web",0
2015-09-01,75,"human rights","world","2012-01-01 2021-12-31","web",0
2015-10-01,82,"human rights","world","2012-01-01 2021-12-31","web",0
2015-11-01,80,"human rights","world","2012-01-01 2021-12-31","web",0
2015-12-01,70,"human rights","world","2012-01-01 2021-12-31","web",0
2016-01-01,72,"human rights","world","2012-01-01 2021-12-31","web",0
2016-02-01,82,"human rights","world","2012-01-01 2021-12-31","web",0
2016-03-01,85,"human rights","world","2012-01-01 2021-12-31","web",0
2016-04-01,90,"human rights","world","2012-01-01 2021-12-31","web",0
2016-05-01,95,"human rights","world","2012-01-01 2021-12-31","web",0
2016-06-01,69,"human rights","world","2012-01-01 2021-12-31","web",0
2016-07-01,54,"human rights","world","2012-01-01 2021-12-31","web",0
2016-08-01,61,"human rights","world","2012-01-01 2021-12-31","web",0
2016-09-01,72,"human rights","world","2012-01-01 2021-12-31","web",0
2016-10-01,79,"human rights","world","2012-01-01 2021-12-31","web",0
2016-11-01,85,"human rights","world","2012-01-01 2021-12-31","web",0
2016-12-01,70,"human rights","world","2012-01-01 2021-12-31","web",0
2017-01-01,74,"human rights","world","2012-01-01 2021-12-31","web",0
2017-02-01,81,"human rights","world","2012-01-01 2021-12-31","web",0
2017-03-01,92,"human rights","world","2012-01-01 2021-12-31","web",0
2017-04-01,81,"human rights","world","2012-01-01 2021-12-31","web",0
2017-05-01,100,"human rights","world","2012-01-01 2021-12-31","web",0
2017-06-01,63,"human rights","world","2012-01-01 2021-12-31","web",0
2017-07-01,50,"human rights","world","2012-01-01 2021-12-31","web",0
2017-08-01,55,"human rights","world","2012-01-01 2021-12-31","web",0
2017-09-01,73,"human rights","world","2012-01-01 2021-12-31","web",0
2017-10-01,76,"human rights","world","2012-01-01 2021-12-31","web",0
2017-11-01,78,"human rights","world","2012-01-01 2021-12-31","web",0
2017-12-01,66,"human rights","world","2012-01-01 2021-12-31","web",0
2018-01-01,64,"human rights","world","2012-01-01 2021-12-31","web",0
2018-02-01,77,"human rights","world","2012-01-01 2021-12-31","web",0
2018-03-01,81,"human rights","world","2012-01-01 2021-12-31","web",0
2018-04-01,76,"human rights","world","2012-01-01 2021-12-31","web",0
2018-05-01,83,"human rights","world","2012-01-01 2021-12-31","web",0
2018-06-01,77,"human rights","world","2012-01-01 2021-12-31","web",0
2018-07-01,52,"human rights","world","2012-01-01 2021-12-31","web",0
2018-08-01,56,"human rights","world","2012-01-01 2021-12-31","web",0
2018-09-01,71,"human rights","world","2012-01-01 2021-12-31","web",0
2018-10-01,80,"human rights","world","2012-01-01 2021-12-31","web",0
2018-11-01,73,"human rights","world","2012-01-01 2021-12-31","web",0
2018-12-01,69,"human rights","world","2012-01-01 2021-12-31","web",0
2019-01-01,66,"human rights","world","2012-01-01 2021-12-31","web",0
2019-02-01,75,"human rights","world","2012-01-01 2021-12-31","web",0
2019-03-01,77,"human rights","world","2012-01-01 2021-12-31","web",0
2019-04-01,75,"human rights","world","2012-01-01 2021-12-31","web",0
2019-05-01,77,"human rights","world","2012-01-01 2021-12-31","web",0
2019-06-01,60,"human rights","world","2012-01-01 2021-12-31","web",0
2019-07-01,53,"human rights","world","2012-01-01 2021-12-31","web",0
2019-08-01,54,"human rights","world","2012-01-01 2021-12-31","web",0
2019-09-01,72,"human rights","world","2012-01-01 2021-12-31","web",0
2019-10-01,77,"human rights","world","2012-01-01 2021-12-31","web",0
2019-11-01,79,"human rights","world","2012-01-01 2021-12-31","web",0
