"date","hits","keyword","geo","time","gprop","category"
2014-01-05,50,"human rights","world","2014-01-01 2018-12-31","web",0
2014-01-12,60,"human rights","world","2014-01-01 2018-12-31","web",0
2014-01-19,54,"human rights","world","2014-01-01 2018-12-31","web",0
2014-01-26,61,"human rights","world","2014-01-01 2018-12-31","web",0
2014-02-02,62,"human rights","world","2014-01-01 2018-12-31","web",0
2014-02-09,57,"human rights","world","2014-01-01 2018-12-31","web",0
2014-02-16,64,"human rights","world","2014-01-01 2018-12-31","web",0
2014-02-23,67,"human rights","world","2014-01-01 2018-12-31","web",0
2014-03-02,69,"human rights","world","2014-01-01 2018-12-31","web",0
2014-03-09,65,"human rights","world","2014-01-01 2018-12-31","web",0
2014-03-16,67,"human rights","world","2014-01-01 2018-12-31","web",0
2014-03-23,67,"human rights","world","2014-01-01 2018-12-31","web",0
2014-03-30,61,"human rights","world","2014-01-01 2018-12-31","web",0
2014-04-06,62,"human rights","world","2014-01-01 2018-12-31","web",0
2014-04-13,53,"human rights","world","2014-01-01 2018-12-31","web",0
2014-04-20,56,"human rights","world","2014-01-01 2018-12-31","web",0
2014-04-27,66,"human rights","world","2014-01-01 2018-12-31","web",0
2014-05-04,68,"human rights","world","2014-01-01 2018-12-31","web",0
2014-05-11,69,"human rights","world","2014-01-01 2018-12-31","web",0
2014-05-18,61,"human rights","world","2014-01-01 2018-12-31","web",0
2014-05-25,57,"human rights","world","2014-01-01 2018-12-31","web",0
2014-06-01,58,"human rights","world","2014-01-01 2018-12-31","web",0
2014-06-08,51,"human rights","world","2014-01-01 2018-12-31","web",0
2014-06-15,49,"human rights","world","2014-01-01 2018-12-31","web",0
2014-06-22,47,"human rights","world","2014-01-01 2018-12-31","web",0
2014-06-29,42,"human rights","world","2014-01-01 2018-12-31","web",0
2014-07-06,42,"human rights","world","2014-01-01 2018-12-31","web",0
2014-07-13,47,"human rights","world","2014-01-01 2018-12-31","web",0
2014-07-20,53,"human rights","world","2014-01-01 2018-12-31","web",0
2014-07-27,48,"human rights","world","2014-01-01 2018-12-31","web",0
2014-08-03,45,"human rights","world","2014-01-01 2018-12-31","web",0
2014-08-10,50,"human rights","world","2014-01-01 2018-12-31","web",0
2014-08-17,49,"human rights","world","2014-01-01 2018-12-31","web",0
2014-08-24,49,"human rights","world","2014-01-01 2018-12-31","web",0
2014-08-31,49,"human rights","world","2014-01-01 2018-12-31","web",0
2014-09-07,58,"human rights","world","2014-01-01 2018-12-31","web",0
2014-09-14,62,"human rights","world","2014-01-01 2018-12-31","web",0
2014-09-21,62,"human rights","world","2014-01-01 2018-12-31","web",0
2014-09-28,66,"human rights","world","2014-01-01 2018-12-31","web",0
2014-10-05,64,"human rights","world","2014-01-01 2018-12-31","web",0
2014-10-12,66,"human rights","world","2014-01-01 2018-12-31","web",0
2014-10-19,63,"human rights","world","2014-01-01 2018-12-31","web",0
2014-10-26,62,"human rights","world","2014-01-01 2018-12-31","web",0
2014-11-02,63,"human rights","world","2014-01-01 2018-12-31","web",0
2014-11-09,67,"human rights","world","2014-01-01 2018-12-31","web",0
2014-11-16,64,"human rights","world","2014-01-01 2018-12-31","web",0
2014-11-23,59,"human rights","world","2014-01-01 2018-12-31","web",0
2014-11-30,65,"human rights","world","2014-01-01 2018-12-31","web",0
2014-12-07,74,"human rights","world","2014-01-01 2018-12-31","web",0
2014-12-14,53,"human rights","world","2014-01-01 2018-12-31","web",0
2014-12-21,31,"human rights","world","2014-01-01 2018-12-31","web",0
2014-12-28,30,"human rights","world","2014-01-01 2018-12-31","web",0
2015-01-04,53,"human rights","world","2014-01-01 2018-12-31","web",0
2015-01-11,57,"human rights","world","2014-01-01 2018-12-31","web",0
2015-01-18,54,"human rights","world","2014-01-01 2018-12-31","web",0
2015-01-25,58,"human rights","world","2014-01-01 2018-12-31","web",0
2015-02-01,59,"human rights","world","2014-01-01 2018-12-31","web",0
2015-02-08,60,"human rights","world","2014-01-01 2018-12-31","web",0
2015-02-15,56,"human rights","world","2014-01-01 2018-12-31","web",0
2015-02-22,66,"human rights","world","2014-01-01 2018-12-31","web",0
2015-03-01,60,"human rights","world","2014-01-01 2018-12-31","web",0
2015-03-08,59,"human rights","world","2014-01-01 2018-12-31","web",0
2015-03-15,68,"human rights","world","2014-01-01 2018-12-31","web",0
2015-03-22,64,"human rights","world","2014-01-01 2018-12-31","web",0
2015-03-29,55,"human rights","world","2014-01-01 2018-12-31","web",0
2015-04-05,58,"human rights","world","2014-01-01 2018-12-31","web",0
2015-04-12,61,"human rights","world","2014-01-01 2018-12-31","web",0
2015-04-19,65,"human rights","world","2014-01-01 2018-12-31","web",0
2015-04-26,67,"human rights","world","2014-01-01 2018-12-31","web",0
2015-05-03,70,"human rights","world","2014-01-01 2018-12-31","web",0
2015-05-10,100,"human rights","world","2014-01-01 2018-12-31","web",0
2015-05-17,61,"human rights","world","2014-01-01 2018-12-31","web",0
2015-05-24,67,"human rights","world","2014-01-01 2018-12-31","web",0
2015-05-31,57,"human rights","world","2014-01-01 2018-12-31","web",0
