"date","hits","keyword","geo","time","gprop","category"
2018-01-07,56,"human rights","world","2018-01-01 2022-12-31","web",0
2018-01-14,52,"human rights","world","2018-01-01 2022-12-31","web",0
2018-01-21,47,"human rights","world","2018-01-01 2022-12-31","web",0
2018-01-28,58,"human rights","world","2018-01-01 2022-12-31","web",0
2018-02-04,56,"human rights","world","2018-01-01 2022-12-31","web",0
2018-02-11,57,"human rights","world","2018-01-01 2022-12-31","web",0
2018-02-18,54,"human rights","world","2018-01-01 2022-12-31","web",0
2018-02-25,58,"human rights","world","2018-01-01 2022-12-31","web",0
2018-03-04,56,"human rights","world","2018-01-01 2022-12-31","web",0
2018-03-11,59,"human rights","world","2018-01-01 2022-12-31","web",0
2018-03-18,65,"human rights","world","2018-01-01 2022-12-31","web",0
2018-03-25,50,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-01,55,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-08,57,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-15,59,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-22,62,"human rights","world","2018-01-01 2022-12-31","web",0
2018-04-29,64,"human rights","world","2018-01-01 2022-12-31","web",0
2018-05-06,64,"human rights","world","2018-01-01 2022-12-31","web",0
2018-05-13,58,"human rights","world","2018-01-01 2022-12-31","web",0
2018-05-20,57,"human rights","world","2018-01-01 2022-12-31","web",0
2018-05-27,53,"human rights","world","2018-01-01 2022-12-31","web",0
2018-06-03,52,"human rights","world","2018-01-01 2022-12-31","web",0
2018-06-10,50,"human rights","world","2018-01-01 2022-12-31","web",0
2018-06-17,100,"human rights","world","2018-01-01 2022-12-31","web",0
2018-06-24,42,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-01,37,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-08,40,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-15,42,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-22,43,"human rights","world","2018-01-01 2022-12-31","web",0
2018-07-29,42,"human rights","world","2018-01-01 2022-12-31","web",0
2018-08-05,44,"human rights","world","2018-01-01 2022-12-31","web",0
2018-08-12,43,"human rights","world","2018-01-01 2022-12-31","web",0
2018-08-19,42,"human rights","world","2018-01-01 2022-12-31","web",0
2018-08-26,46,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-02,49,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-09,52,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-16,55,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-23,54,"human rights","world","2018-01-01 2022-12-31","web",0
2018-09-30,54,"human rights","world","2018-01-01 2022-12-31","web",0
2018-10-07,53,"human rights","world","2018-01-01 2022-12-31","web",0
2018-10-14,53,"human rights","world","2018-01-01 2022-12-31","web",0
2018-10-21,58,"human rights","world","2018-01-01 2022-12-31","web",0
2018-10-28,56,"human rights","world","2018-01-01 2022-12-31","web",0
2018-11-04,54,"human rights","world","2018-01-01 2022-12-31","web",0
2018-11-11,57,"human rights","world","2018-01-01 2022-12-31","web",0
2018-11-18,49,"human rights","world","2018-01-01 2022-12-31","web",0
2018-11-25,56,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-02,63,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-09,77,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-16,43,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-23,27,"human rights","world","2018-01-01 2022-12-31","web",0
2018-12-30,33,"human rights","world","2018-01-01 2022-12-31","web",0
2019-01-06,52,"human rights","world","2018-01-01 2022-12-31","web",0
2019-01-13,50,"human rights","world","2018-01-01 2022-12-31","web",0
2019-01-20,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-01-27,54,"human rights","world","2018-01-01 2022-12-31","web",0
2019-02-03,54,"human rights","world","2018-01-01 2022-12-31","web",0
2019-02-10,53,"human rights","world","2018-01-01 2022-12-31","web",0
2019-02-17,56,"human rights","world","2018-01-01 2022-12-31","web",0
2019-02-24,61,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-03,59,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-10,57,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-17,61,"human rights","world","2018-01-01 2022-12-31","web",0
2019-03-24,55,"human rights","world","2018-01-01 2022-12-31","web",0
