"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2012,"AT",305,"Austria",20.8584905660377,21.44,53.6,11.4089607826187
2013,"AT",305,"Austria",15.2940384615385,15.075,36.85,7.98476644215387
2014,"AT",305,"Austria",14.2246153846154,11.39,34.17,7.59018211606631
2015,"AT",305,"Austria",21.6719230769231,20.77,67,10.5902102477716
2012,"AU",900,"Australia",37.638679245283,40.3,65,13.7083657834488
2013,"AU",900,"Australia",33.625,34.125,61.75,10.407258496442
2014,"AU",900,"Australia",32.4375,33.475,50.7,9.88481145743406
2015,"AU",900,"Australia",31.275,30.875,59.8,10.1791188608992
2012,"BE",211,"Belgium",36.408679245283,36.54,73.95,15.915747890513
2013,"BE",211,"Belgium",32.9930769230769,31.32,72.21,15.8576267960187
2014,"BE",211,"Belgium",33.7626923076923,33.495,87,17.0092632335033
2015,"BE",211,"Belgium",35.6867307692308,36.54,79.17,17.418320389205
2012,"BJ",434,"Benin",5.17735849056604,0,80,18.4177865694826
2013,"BJ",434,"Benin",3.10769230769231,0,71.2,12.0533755121461
2014,"BJ",434,"Benin",1.15384615384615,0,20.8,4.71137386975107
2015,"BJ",434,"Benin",3.16923076923077,0,36,7.49790921083582
2012,"CA",20,"Canada",22.2962264150943,22.62,39,7.67896182546711
2013,"CA",20,"Canada",20.6625,20.865,37.05,6.00794143564313
2014,"CA",20,"Canada",17.475,17.745,26.91,5.12589102727803
2015,"CA",20,"Canada",19.6125,20.865,35.88,5.66551760264518
2012,"CH",225,"Switzerland",17.2307547169811,16.06,73,9.42535366589184
2013,"CH",225,"Switzerland",14.6561538461538,14.6,27.01,6.23937753112178
2014,"CH",225,"Switzerland",14.6701923076923,14.6,27.01,4.96218859461902
2015,"CH",225,"Switzerland",14.4736538461538,14.6,29.93,5.99141085510673
2012,"CI",437,"Côte d’Ivoire",3.8988679245283,0,28.56,8.03147885136436
2013,"CI",437,"Côte d’Ivoire",2.75692307692308,0,56,8.46515106207626
2014,"CI",437,"Côte d’Ivoire",0.893846153846154,0,8.96,2.05460950332694
2015,"CI",437,"Côte d’Ivoire",1.01230769230769,0,8.96,2.06886216277623
2012,"CM",471,"Cameroon",3.66981132075472,0,42.5,11.5012304509906
2013,"CM",471,"Cameroon",3.32692307692308,0,32,9.34884108125677
2014,"CM",471,"Cameroon",4.36538461538461,0,23,8.54579095148163
2015,"CM",471,"Cameroon",3.64423076923077,0,50,10.5036578775418
2012,"CZ",316,"Czechia",11.5188679245283,10.36,27.75,6.69785604629093
2013,"CZ",316,"Czechia",9.22153846153846,7.4,28.49,6.42609184576881
2014,"CZ",316,"Czechia",11.4984615384615,12.025,28.49,6.9587494325603
2015,"CZ",316,"Czechia",10.7157692307692,8.88,37,7.16481745759118
2012,"DE",255,"Germany",30.85,30.74,49.29,8.0716209886624
2013,"DE",255,"Germany",25.4298076923077,25.44,36.57,5.7183877785458
2014,"DE",255,"Germany",27.0809615384615,27.56,53,7.00790905002296
2015,"DE",255,"Germany",25.0832692307692,24.115,42.93,6.45773308162737
2012,"DK",390,"Denmark",28.9766037735849,26.86,79,15.987104772693
2013,"DK",390,"Denmark",35.3221153846154,34.365,59.25,11.985371694407
2014,"DK",390,"Denmark",33.4838461538462,32.39,61.62,14.6499399923614
2015,"DK",390,"Denmark",32.5419230769231,28.44,65.57,13.6662330450284
2012,"ET",530,"Ethiopia",3.66452830188679,0,39,8.03326439204218
2013,"ET",530,"Ethiopia",1.785,0,14.43,3.83082774038074
2014,"ET",530,"Ethiopia",2.0775,0,20.28,4.7374597623621
2015,"ET",530,"Ethiopia",1.035,0,12.09,2.69966337770863
2012,"FJ",950,"Fiji",1.91547169811321,0,36,7.91457724368769
2013,"FJ",950,"Fiji",1.55076923076923,0,32.76,6.40844352524773
2014,"FJ",950,"Fiji",0.387692307692308,0,20.16,2.79568898897515
2015,"FJ",950,"Fiji",1.75153846153846,0,29.16,5.68809330354771
2012,"FR",220,"France",7.07471698113208,6.88,11.61,1.95704703352701
2013,"FR",220,"France",6.64846153846154,6.02,43,5.46668426035502
2014,"FR",220,"France",6.26807692307692,6.02,15.05,2.21289894018164
2015,"FR",220,"France",6.69807692307692,6.45,22.79,3.34309298989197
2012,"GA",481,"Gabon",3.58188679245283,0,84,13.9445750489081
2013,"GA",481,"Gabon",1.59923076923077,0,28.56,6.52839104165492
2014,"GA",481,"Gabon",3.15,0,45.36,9.23606868239309
2015,"GA",481,"Gabon",3.45692307692308,0,45.36,9.38434356108077
2012,"GB",200,"United Kingdom",36.6945283018868,37.17,63,10.1883843299117
2013,"GB",200,"United Kingdom",29.3555769230769,30.555,44.73,7.65438395811711
2014,"GB",200,"United Kingdom",31.0396153846154,32.13,45.36,6.83685656514071
2015,"GB",200,"United Kingdom",29.5615384615385,30.24,42.84,6.98853722095603
2012,"GH",452,"Ghana",3.28452830188679,0,34,6.7553735209711
2013,"GH",452,"Ghana",3.11230769230769,0,22.78,5.19637151511292
2014,"GH",452,"Ghana",3.33461538461538,0,13.6,4.26525978407424
2015,"GH",452,"Ghana",2.805,0,12.58,4.26570431855436
2012,"GM",420,"Gambia",2.34339622641509,0,54,9.94918839817064
2013,"GM",420,"Gambia",0.436153846153846,0,22.68,3.14515011259705
2014,"GM",420,"Gambia",0,0,0,0
2015,"GM",420,"Gambia",0.332307692307692,0,17.28,2.39630484769299
2012,"HT",41,"Haiti",2.38415094339623,0,36,8.47169527897781
2013,"HT",41,"Haiti",2.92846153846154,0,27.72,8.20400795991416
2014,"HT",41,"Haiti",0.706153846153846,0,19.8,3.57660270058446
2015,"HT",41,"Haiti",1.75153846153846,0,18.72,5.42513156418236
2012,"IE",205,"Ireland",30.0471698113208,29.25,62.4,14.7451407090032
2013,"IE",205,"Ireland",23.15,20.15,65,16.3646348724866
2014,"IE",205,"Ireland",17.7625,18.2,38.35,8.92509611636057
2015,"IE",205,"Ireland",25.0375,24.05,60.45,11.0851732587484
2012,"IS",395,"Iceland",6.30188679245283,0,42,9.8030311357496
2013,"IS",395,"Iceland",6.36538461538461,0,45,10.9741744004157
2014,"IS",395,"Iceland",2.84615384615385,0,20,5.60596536397985
2015,"IS",395,"Iceland",8,0,100,15.4881358768955
2012,"IT",325,"Italy",16.3947169811321,15.6,28.86,6.03844592964804
2013,"IT",325,"Italy",14.25,14.235,39,5.82648213913396
2014,"IT",325,"Italy",12.81,13.455,22.62,4.55821946662097
2015,"IT",325,"Italy",13.1475,13.455,21.84,4.68912712935938
2012,"JM",51,"Jamaica",2.82566037735849,0,39,7.74804156630613
2013,"JM",51,"Jamaica",1.38,0,23.01,3.77049692465377
2014,"JM",51,"Jamaica",0.735,0,8.97,1.70199364068764
2015,"JM",51,"Jamaica",0.45,0,2.73,0.996210466777802
2012,"KE",501,"Kenya",8.83641509433962,0,59.63,14.2413991715296
2013,"KE",501,"Kenya",15.8094230769231,15.075,58.29,16.2646456973595
2014,"KE",501,"Kenya",23.4628846153846,22.445,67,14.7796512650278
2015,"KE",501,"Kenya",17.3298076923077,14.74,50.92,13.0863079906075
2012,"LB",660,"Lebanon",5.6377358490566,0,30,8.08275054133788
2013,"LB",660,"Lebanon",4.13076923076923,0,16.2,5.17355790123838
2014,"LB",660,"Lebanon",2.86153846153846,0,12.6,3.6725347258014
2015,"LB",660,"Lebanon",3.09807692307692,0,17.4,4.13765541190809
2012,"LU",212,"Luxembourg",14.1179245283019,0,73,18.3619326490862
2013,"LU",212,"Luxembourg",12.2976923076923,0,70.81,19.5010168277255
2014,"LU",212,"Luxembourg",13.9963461538462,0,67.16,18.3824771665787
2015,"LU",212,"Luxembourg",14.5719230769231,20.44,61.32,15.8411758127742
2012,"MT",338,"Malta",2.54716981132075,0,14.31,5.33746243991774
2013,"MT",338,"Malta",2.25865384615385,0,20.25,4.84380503033986
2014,"MT",338,"Malta",2.21711538461538,0,27,5.13162602237187
2015,"MT",338,"Malta",0.550384615384615,0,9.99,2.24881054532797
2012,"MV",781,"Maldives",7.87018867924528,0,88,17.694023164135
2013,"MV",781,"Maldives",3.77384615384615,0,44.88,10.3043166575852
2014,"MV",781,"Maldives",2.55538461538462,0,40.48,7.68206530173695
2015,"MV",781,"Maldives",3.19846153846154,0,35.2,8.80350005810198
2012,"MW",553,"Malawi",1.15188679245283,0,33,5.21118067848935
2013,"MW",553,"Malawi",0.228461538461538,0,11.88,1.64745958278893
2014,"MW",553,"Malawi",0.165,0,8.58,1.18983192090312
2015,"MW",553,"Malawi",0.279230769230769,0,7.26,1.40977518184582
2012,"NG",475,"Nigeria",3.54301886792453,0,13.94,4.4755303015851
2013,"NG",475,"Nigeria",2.90942307692308,2.87,11.07,2.67596595237693
2014,"NG",475,"Nigeria",3.35096153846154,2.46,30.34,4.90236327947878
2015,"NG",475,"Nigeria",5.39307692307692,3.28,41,6.57975908089303
2012,"NL",210,"Netherlands",17.6160377358491,17.04,35.5,5.55411016885508
2013,"NL",210,"Netherlands",15.8384615384615,17.04,26.27,5.62674125889667
2014,"NL",210,"Netherlands",17.4086538461538,14.91,71,10.2170468909537
2015,"NL",210,"Netherlands",15.0875,15.62,26.98,5.28868005883376
