"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2013,"AE",696,"United Arab Emirates",1.14230769230769,0.84,6,1.21792271782997
2014,"AE",696,"United Arab Emirates",0.852692307692308,0.75,3.48,0.664353187973867
2015,"AE",696,"United Arab Emirates",0.711923076923077,0.57,3.3,0.613383539488824
2016,"AE",696,"United Arab Emirates",0.828461538461538,0.6,3,0.618199106879496
2017,"AE",696,"United Arab Emirates",0.578490566037736,0.54,1.62,0.386718921114225
2013,"BH",692,"Bahrain",10.5740384615385,8.925,35,9.34722088500114
2014,"BH",692,"Bahrain",9.625,8.575,32.2,7.62870289388289
2015,"BH",692,"Bahrain",8.50096153846154,8.05,32.2,7.14546675422583
2016,"BH",692,"Bahrain",8.50769230769231,7.35,25.2,5.82435206036491
2017,"BH",692,"Bahrain",7.71981132075472,7.35,27.65,5.71014902491979
2013,"CH",225,"Switzerland",0.0440384615384615,0,0.5,0.0990990713512734
2014,"CH",225,"Switzerland",0.0536538461538462,0,0.23,0.0735121397511962
2015,"CH",225,"Switzerland",0.0398076923076923,0,0.365,0.0730629700103069
2016,"CH",225,"Switzerland",0.0390384615384615,0,0.33,0.0758354672929989
2017,"CH",225,"Switzerland",0.0429245283018868,0,0.29,0.068538548686292
2013,"DE",255,"Germany",0.0519230769230769,0,0.42,0.107170168177575
2014,"DE",255,"Germany",0.0463461538461538,0,0.4,0.102057823789662
2015,"DE",255,"Germany",0.0916346153846154,0,0.405,0.12802313345583
2016,"DE",255,"Germany",0.113461538461538,0.0875,0.41,0.126504818406018
2017,"DE",255,"Germany",0.10311320754717,0,0.5,0.13747806263845
2013,"DZ",615,"Algeria",7.13846153846154,6,23.2,5.30682704381832
2014,"DZ",615,"Algeria",6.35384615384615,5.8,20.8,5.15403750123169
2015,"DZ",615,"Algeria",6.73076923076923,6.2,20.8,5.50263888428083
2016,"DZ",615,"Algeria",6.93846153846154,5.6,20.4,5.3148018923902
2017,"DZ",615,"Algeria",9.03396226415094,6.4,40,9.55161974576979
2013,"EG",651,"Egypt",6.70961538461538,6.375,13.2,2.67275723209562
2014,"EG",651,"Egypt",5.28461538461538,5.175,12.6,2.50340040238485
2015,"EG",651,"Egypt",4.52307692307692,4.2,12,2.1474440242074
2016,"EG",651,"Egypt",5.04230769230769,3.975,13.2,2.78099969004279
2017,"EG",651,"Egypt",4.48301886792453,3.75,15,2.91153117587614
2013,"EH",NA,"Western Sahara",0,0,0,0
2014,"EH",NA,"Western Sahara",0,0,0,0
2015,"EH",NA,"Western Sahara",0,0,0,0
2016,"EH",NA,"Western Sahara",12.5576923076923,0,100,24.4335139989082
2017,"EH",NA,"Western Sahara",8.43396226415094,0,80,17.3388286291006
2013,"ES",230,"Spain",0.00442307692307692,0,0.23,0.0318952612829507
2014,"ES",230,"Spain",0.0225,0,0.5,0.0855575714897033
2015,"ES",230,"Spain",0.0242307692307692,0,0.225,0.0678549824444302
2016,"ES",230,"Spain",0.0211538461538462,0,0.23,0.0655266401790321
2017,"ES",230,"Spain",0.00849056603773585,0,0.23,0.043296661197225
2013,"FR",220,"France",0.0355769230769231,0,0.22,0.0560694059228648
2014,"FR",220,"France",0.0433653846153846,0,0.405,0.0886761078961739
2015,"FR",220,"France",0.0829807692307692,0,0.5,0.120940998479102
2016,"FR",220,"France",0.0486538461538462,0,0.49,0.0827713326842622
2017,"FR",220,"France",0.0366037735849057,0,0.205,0.0548930217025813
2013,"GB",200,"United Kingdom",0.0583653846153846,0,0.345,0.090941271470724
2014,"GB",200,"United Kingdom",0.05,0,0.225,0.0692183246733712
2015,"GB",200,"United Kingdom",0.0754807692307692,0.0475,0.385,0.0898433255859213
