"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2013,"AO",540,"Angola",13.42,11.44,34.32,8.44337447641757
2014,"AO",540,"Angola",13.95,13.26,42.12,9.3621076058508
2015,"AO",540,"Angola",18.02,13.52,52,12.4829244939465
2016,"AO",540,"Angola",14.19,13.78,33.8,9.09706395212321
2017,"AO",540,"Angola",11.8716981132075,8.84,31.2,7.77444871551602
2013,"AR",160,"Argentina",0.0161538461538462,0,0.125,0.0268732570728105
2014,"AR",160,"Argentina",0.0171153846153846,0,0.115,0.0272127809116821
2015,"AR",160,"Argentina",0.0219230769230769,0,0.195,0.0360847836889224
2016,"AR",160,"Argentina",0.0120192307692308,0,0.1,0.0223444429944005
2017,"AR",160,"Argentina",0.0238679245283019,0,0.5,0.070687839704917
2013,"BO",145,"Bolivia",0.0571153846153846,0,1,0.233106359116678
2014,"BO",145,"Bolivia",0.200192307692308,0,0.98,0.269476546941349
2015,"BO",145,"Bolivia",0.117307692307692,0,0.6,0.162301044233474
2016,"BO",145,"Bolivia",0,0,0,0
2017,"BO",145,"Bolivia",0.019811320754717,0,0.54,0.101042461867005
2013,"BR",140,"Brazil",14.7376923076923,15.12,26.04,5.3762026891152
2014,"BR",140,"Brazil",13.0630769230769,14.14,20.44,4.03284045204046
2015,"BR",140,"Brazil",13.0253846153846,14.28,20.16,3.88315641852592
2016,"BR",140,"Brazil",12.6107692307692,13.72,19.6,3.97334740398574
2017,"BR",140,"Brazil",13.4505660377359,13.72,28,4.4904079029614
2013,"CA",20,"Canada",0.0279807692307692,0,0.29,0.0646579204873589
2014,"CA",20,"Canada",0.0130769230769231,0,0.265,0.0482960016019863
2015,"CA",20,"Canada",0.02,0,0.16,0.0512491032920118
2016,"CA",20,"Canada",0.0298076923076923,0,0.28,0.0644582365054588
2017,"CA",20,"Canada",0.0383018867924528,0,0.5,0.0874364791204846
2013,"CL",155,"Chile",0.0398076923076923,0,0.25,0.065394440748772
2014,"CL",155,"Chile",0.0421153846153846,0,0.265,0.0666520534511948
2015,"CL",155,"Chile",0.0533653846153846,0,0.28,0.0787196636485904
