"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2014,"AE",696,"United Arab Emirates",1.73653846153846,1.54,7,1.33867930909884
2015,"AE",696,"United Arab Emirates",1.43769230769231,1.155,6.72,1.24492320478896
2016,"AE",696,"United Arab Emirates",1.68269230769231,1.26,6.02,1.25242527918422
2017,"AE",696,"United Arab Emirates",1.17811320754717,1.12,3.29,0.78595619520667
2018,"AE",696,"United Arab Emirates",1.16711538461538,0.875,2.73,0.676224630674765
2014,"BH",692,"Bahrain",12.2290384615385,10.865,41,9.70023756725766
2015,"BH",692,"Bahrain",10.8098076923077,10.25,40.59,9.06120874298022
2016,"BH",692,"Bahrain",10.8334615384615,9.43,31.98,7.40111567758547
2017,"BH",692,"Bahrain",9.80905660377358,9.43,35.26,7.29800401167516
2018,"BH",692,"Bahrain",7.22230769230769,4.51,22.55,6.53944460536262
2014,"CH",225,"Switzerland",0.146538461538462,0,0.63,0.200703513802048
2015,"CH",225,"Switzerland",0.109038461538462,0,1,0.20018873071047
2016,"CH",225,"Switzerland",0.106730769230769,0,0.91,0.208201647672429
2017,"CH",225,"Switzerland",0.117547169811321,0,0.79,0.187584910623853
2018,"CH",225,"Switzerland",0.106346153846154,0,0.97,0.20729848562346
2014,"DE",255,"Germany",0.0351923076923077,0,0.305,0.0775669321249462
2015,"DE",255,"Germany",0.0696153846153846,0,0.305,0.0972002488994945
2016,"DE",255,"Germany",0.0857692307692308,0.0675,0.31,0.0958163307102147
2017,"DE",255,"Germany",0.0783018867924528,0,0.38,0.104540861519029
2018,"DE",255,"Germany",0.0782692307692308,0,0.5,0.11682433861792
2014,"DZ",615,"Algeria",7.94230769230769,7.25,26,6.44254687653961
2015,"DZ",615,"Algeria",8.41346153846154,7.75,26,6.87829860535104
2016,"DZ",615,"Algeria",8.67307692307692,7,25.5,6.64350236548775
2017,"DZ",615,"Algeria",11.2924528301887,8,50,11.9395246822122
2018,"DZ",615,"Algeria",6.46153846153846,7,14.5,4.36546850106444
2014,"EG",651,"Egypt",6.34153846153846,6.21,15.12,3.00408048286182
2015,"EG",651,"Egypt",5.42769230769231,5.04,14.4,2.57693282904888
2016,"EG",651,"Egypt",6.05076923076923,4.77,15.84,3.33719962805135
2017,"EG",651,"Egypt",5.37962264150943,4.5,18,3.49383741105137
2018,"EG",651,"Egypt",5.26846153846154,4.77,10.8,2.41735018159399
2014,"EH",NA,"Western Sahara",0,0,0,0
2015,"EH",NA,"Western Sahara",0,0,0,0
2016,"EH",NA,"Western Sahara",12.5576923076923,0,100,24.4335139989082
2017,"EH",NA,"Western Sahara",8.43396226415094,0,80,17.3388286291006
2018,"EH",NA,"Western Sahara",5.03846153846154,0,43,10.0234265568052
2014,"ES",230,"Spain",0.0225,0,0.5,0.0855575714897033
2015,"ES",230,"Spain",0.0242307692307692,0,0.225,0.0678549824444302
2016,"ES",230,"Spain",0.0211538461538462,0,0.23,0.0655266401790321
2017,"ES",230,"Spain",0.00849056603773585,0,0.23,0.043296661197225
2018,"ES",230,"Spain",0.0389423076923077,0,0.35,0.0834861532399561
2014,"FR",220,"France",0.0433653846153846,0,0.405,0.0886761078961739
2015,"FR",220,"France",0.0829807692307692,0,0.5,0.120940998479102
2016,"FR",220,"France",0.0486538461538462,0,0.49,0.0827713326842622
2017,"FR",220,"France",0.0366037735849057,0,0.205,0.0548930217025813
2018,"FR",220,"France",0.0420192307692308,0,0.185,0.0582444107844862
2014,"GB",200,"United Kingdom",0.05,0,0.225,0.0692183246733712
2015,"GB",200,"United Kingdom",0.0754807692307692,0.0475,0.385,0.0898433255859213
2016,"GB",200,"United Kingdom",0.0663461538461538,0,0.5,0.0929479898031499
2017,"GB",200,"United Kingdom",0.0879245283018868,0.09,0.36,0.0905030490469379
2018,"GB",200,"United Kingdom",0.0632692307692308,0.0825,0.255,0.0710970381845289
2014,"IL",666,"Israel",0.783076923076923,0.72,2.16,0.648441686983338
2015,"IL",666,"Israel",1.47076923076923,0.96,7.52,1.59183436688109
2016,"IL",666,"Israel",2.61384615384615,2.08,8,1.99057992717085
2017,"IL",666,"Israel",1.89132075471698,2,3.84,1.09635416395898
2018,"IL",666,"Israel",1.38769230769231,1.28,3.92,0.848548045676862
2014,"IN",750,"India",0.0486538461538462,0,0.5,0.11517299598658
2015,"IN",750,"India",0.0258653846153846,0,0.23,0.0667650339524567
2016,"IN",750,"India",0.0425961538461538,0,0.305,0.0821613094420407
2017,"IN",750,"India",0.0241509433962264,0,0.26,0.0566597117163968
2018,"IN",750,"India",0.0271153846153846,0,0.245,0.0528255188800565
2014,"IQ",645,"Iraq",9.45576923076923,7.95,25.5,5.53698486158903
2015,"IQ",645,"Iraq",7.17115384615385,6.3,20.7,4.06560593069599
2016,"IQ",645,"Iraq",7.71346153846154,6,23.4,5.68600031195139
2017,"IQ",645,"Iraq",8.14528301886792,6.9,30,6.17608807099345
2018,"IQ",645,"Iraq",9.56538461538461,9.15,24.9,6.60899222881545
2014,"IR",630,"Iran",0.0652884615384615,0,0.5,0.104915528400459
2015,"IR",630,"Iran",0.0476923076923077,0,0.325,0.0872761087317397
2016,"IR",630,"Iran",0.0386538461538462,0,0.235,0.0601315174985776
2017,"IR",630,"Iran",0.0361320754716981,0,0.18,0.0539287413508465
2018,"IR",630,"Iran",0.04,0,0.245,0.0581074056229952
2014,"JO",663,"Jordan",6.60634615384615,5.445,21.45,4.70585743842387
2015,"JO",663,"Jordan",6.72057692307692,4.95,33,6.1073268159731
2016,"JO",663,"Jordan",5.21019230769231,4.29,12.87,3.22296568480489
2017,"JO",663,"Jordan",5.3422641509434,4.29,11.88,2.95377766044501
2018,"JO",663,"Jordan",4.30903846153846,3.96,11.55,2.59135687041832
2014,"KW",690,"Kuwait",1.64442307692308,1.02,7.65,1.77683725788988
2015,"KW",690,"Kuwait",2.49442307692308,1.87,12.92,2.525038080444
2016,"KW",690,"Kuwait",2.66442307692308,2.55,17,2.54493299997445
2017,"KW",690,"Kuwait",1.92452830188679,1.53,9.52,1.90905289248333
2018,"KW",690,"Kuwait",1.66730769230769,1.7,10.88,1.78107933280458
2014,"LB",660,"Lebanon",5.51,4.94,19,4.48139771613679
2015,"LB",660,"Lebanon",5.39673076923077,4.56,15.2,3.30083157743077
2016,"LB",660,"Lebanon",5.77673076923077,5.51,15.2,4.0323100571114
2017,"LB",660,"Lebanon",3.81433962264151,3.61,13.49,2.82918207086971
2018,"LB",660,"Lebanon",4.40288461538462,3.515,14.06,3.21621281154877
2014,"LY",620,"Libya",5.7375,4.32,19.17,4.73451982160562
2015,"LY",620,"Libya",6.25673076923077,4.725,23.76,5.98643588395969
2016,"LY",620,"Libya",7.23807692307692,4.32,27,7.47176122725453
2017,"LY",620,"Libya",3.78,3.78,17.01,4.42040765610524
2018,"LY",620,"Libya",5.96076923076923,4.455,15.66,4.74717453474679
2014,"MA",600,"Morocco",13.0096153846154,10,48.5,11.5713855935689
2015,"MA",600,"Morocco",11.9903846153846,10.25,50,10.1331771069366
2016,"MA",600,"Morocco",13.0384615384615,12.25,32.5,8.80721971767223
2017,"MA",600,"Morocco",10.8867924528302,10,31,7.33448225155692
2018,"MA",600,"Morocco",11.1730769230769,8,34,8.25386695789753
2014,"OM",698,"Oman",2.4,1.8,10.05,2.33779685123559
2015,"OM",698,"Oman",2.05961538461538,1.5,15,2.75677487153153
2016,"OM",698,"Oman",2.14903846153846,1.5,9.3,2.35916008617838
2017,"OM",698,"Oman",1.6811320754717,1.35,6.6,1.79960536312544
2018,"OM",698,"Oman",0.969230769230769,0,6.75,1.54161723861899
2014,"PS",NA,"Palestine",20.2190384615385,20.68,46.06,13.5586268405917
2015,"PS",NA,"Palestine",9.96942307692308,0,46.53,13.3116252323787
2016,"PS",NA,"Palestine",4.97115384615385,0,21.62,8.47194439192024
2017,"PS",NA,"Palestine",7.25396226415094,0,46.06,10.0392083927168
2018,"PS",NA,"Palestine",8.56846153846154,4.7,47,9.34065505210493
2014,"QA",694,"Qatar",4.09961538461538,3.04,14.82,3.52143239657959
2015,"QA",694,"Qatar",3.09846153846154,2.66,10.64,2.91653997570139
2016,"QA",694,"Qatar",4.43211538461538,3.705,14.25,3.77415428082172
2017,"QA",694,"Qatar",7.19849056603774,7.03,19,4.00348953377234
2018,"QA",694,"Qatar",4.97653846153846,4.56,15.39,3.14169049324634
2014,"SA",670,"Saudi Arabia",8.24826923076923,7.685,20.01,3.2741397440165
2015,"SA",670,"Saudi Arabia",9.06807692307692,8.7,17.98,3.28203848566981
2016,"SA",670,"Saudi Arabia",9.59230769230769,8.7,22.91,4.76167115802788
2017,"SA",670,"Saudi Arabia",9.87094339622641,9.28,29,4.27762751648754
2018,"SA",670,"Saudi Arabia",10.2503846153846,10.295,25.23,4.00227384465404
2014,"SD",625,"Sudan",6.53557692307692,5.95,17.5,4.71041125279284
2015,"SD",625,"Sudan",6.0375,5.25,19.6,4.73490247741051
2016,"SD",625,"Sudan",8.85096153846154,8.4,27.3,5.78537278600105
2017,"SD",625,"Sudan",7.39622641509434,7,19.95,4.85413036908343
2018,"SD",625,"Sudan",8.51442307692308,7.7,35,6.88608526296827
2014,"SE",380,"Sweden",0.0554807692307692,0,0.31,0.0948179867077879
2015,"SE",380,"Sweden",0.0899038461538462,0,0.455,0.116149372997284
2016,"SE",380,"Sweden",0.0680769230769231,0,0.29,0.0909867144264019
2017,"SE",380,"Sweden",0.0666981132075472,0,0.27,0.09076567143891
2018,"SE",380,"Sweden",0.0584615384615385,0,0.5,0.0955404567911481
2014,"SY",652,"Syria",2.685,3.25,10.92,3.06458550439133
2015,"SY",652,"Syria",2.71,2.665,11.31,3.11515146139814
2016,"SY",652,"Syria",3.405,1.95,12.87,3.66395826887786
2017,"SY",652,"Syria",2.59754716981132,1.95,8.32,2.43067251350825
2018,"SY",652,"Syria",3.3675,3.51,13,3.04716768202095
2014,"TN",616,"Tunisia",5.3675,4.845,14.44,3.85325066486395
2015,"TN",616,"Tunisia",5.44788461538462,4.465,19,4.25164712559062
2016,"TN",616,"Tunisia",5.50269230769231,5.32,16.53,3.77569944974989
2017,"TN",616,"Tunisia",5.21603773584906,4.94,14.82,3.40220535921054
2018,"TN",616,"Tunisia",5.37115384615385,4.37,14.25,3.5304199904828
2014,"TR",640,"Turkey",0.104326923076923,0.09,0.345,0.0982844453721524
2015,"TR",640,"Turkey",0.0996153846153846,0.085,0.265,0.0897264150771347
2016,"TR",640,"Turkey",0.0927884615384615,0.085,0.5,0.0932549397395228
2017,"TR",640,"Turkey",0.0800943396226415,0.085,0.24,0.0716863532101804
2018,"TR",640,"Turkey",0.0783653846153846,0.08,0.405,0.0917836392029613
2014,"US",2,"United States",0.115480769230769,0.1075,0.44,0.11105227357449
2015,"US",2,"United States",0.0671153846153846,0,0.305,0.0801368079846385
2016,"US",2,"United States",0.0874038461538462,0.08,0.315,0.0778730136788531
2017,"US",2,"United States",0.0706603773584906,0.07,0.5,0.0967900073108763
2018,"US",2,"United States",0.0673076923076923,0.07,0.365,0.0746787993805677
