"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2014,"CV",402,"Cape Verde",16.5769230769231,13,93,20.4041000818666
2015,"CV",402,"Cape Verde",18.9038461538462,12,76,17.753496883254
2016,"CV",402,"Cape Verde",16.6153846153846,10,88,17.9160940313274
2017,"CV",402,"Cape Verde",19.9433962264151,11,100,21.2660935387221
2018,"CV",402,"Cape Verde",20.5576923076923,14.5,100,23.4281659392283
2014,"MZ",541,"Mozambique",22.3730769230769,20.3,70,14.8640916883426
2015,"MZ",541,"Mozambique",18.3076923076923,15.75,49.7,11.2704514959729
2016,"MZ",541,"Mozambique",20.6903846153846,19.6,53.9,12.2107516046774
2017,"MZ",541,"Mozambique",17.3018867924528,18.2,45.5,9.93311266123483
2018,"MZ",541,"Mozambique",18.9269230769231,17.5,43.4,10.9912820245405
2014,"AO",540,"Angola",14.1132692307692,12.75,35.7,8.79626942341074
2015,"AO",540,"Angola",16.8594230769231,13.26,51,11.7742268241992
2016,"AO",540,"Angola",14.4663461538462,15.3,35.19,8.9829001013464
2017,"AO",540,"Angola",11.2777358490566,8.67,30.6,7.56032931759066
2018,"AO",540,"Angola",12.3675,11.22,35.19,8.62421735579525
2014,"BR",140,"Brazil",8.93846153846154,9.66,14,2.73717142149493
2015,"BR",140,"Brazil",8.92230769230769,9.66,13.72,2.65111638740126
2016,"BR",140,"Brazil",8.64769230769231,9.52,13.16,2.72298611705333
2017,"BR",140,"Brazil",9.21358490566038,9.52,19.32,3.07719096076252
2018,"BR",140,"Brazil",11.1246153846154,12.04,28,4.57510846824742
2014,"PT",235,"Portugal",3.18980769230769,2.945,12.16,2.31155281853581
2015,"PT",235,"Portugal",3.01442307692308,2.66,14.06,2.53185076339117
2016,"PT",235,"Portugal",2.91211538461538,2.66,9.5,1.99689596038988
2017,"PT",235,"Portugal",2.9611320754717,2.66,7.79,1.84830136193433
2018,"PT",235,"Portugal",4.49057692307692,3.23,19,4.36246620907708
2014,"IN",750,"India",0.115961538461538,0.0725,0.5,0.136500515195244
2015,"IN",750,"India",0.0936538461538462,0.06,0.49,0.109652371310139
2016,"IN",750,"India",0.0106730769230769,0,0.12,0.0273866442001021
2017,"IN",750,"India",0.00641509433962264,0,0.125,0.0209021842456938
2018,"IN",750,"India",0.0192307692307692,0,0.16,0.0353190585581765
2014,"US",2,"United States",0.113461538461538,0.105,0.395,0.0985758315721239
2015,"US",2,"United States",0.136826923076923,0.1125,0.39,0.109293761577497
2016,"US",2,"United States",0.0751923076923077,0.045,0.26,0.0626690774864407
2017,"US",2,"United States",0.0870754716981132,0.08,0.2,0.0576163869106577
2018,"US",2,"United States",0.0876923076923077,0.08,0.5,0.0792146595814774
