"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2012,"EH",NA,"Western Sahara",0,0,0,0
2013,"EH",NA,"Western Sahara",0,0,0,0
2014,"EH",NA,"Western Sahara",0,0,0,0
2015,"EH",NA,"Western Sahara",0,0,0,0
2016,"EH",NA,"Western Sahara",10.8076923076923,0,100,21.8147624611592
2012,"PS",NA,"Palestine",10.3460377358491,8.55,30.78,7.02689512888835
2013,"PS",NA,"Palestine",12.5290384615385,8.835,57,11.3420088927836
2014,"PS",NA,"Palestine",9.44884615384615,9.975,23.94,6.6791668066286
2015,"PS",NA,"Palestine",3.79269230769231,0,20.52,5.66399260391418
2016,"PS",NA,"Palestine",1.54557692307692,0,10.83,3.52156962188879
2012,"MA",600,"Morocco",8.94075471698113,6.84,33.44,6.80075217815495
2013,"MA",600,"Morocco",9.64615384615385,8.55,36.86,7.67678705102907
2014,"MA",600,"Morocco",10.2380769230769,7.98,38,9.04374749638006
2015,"MA",600,"Morocco",9.38307692307692,7.79,37.62,7.95300252548919
2016,"MA",600,"Morocco",10.1576923076923,9.69,25.84,6.83921983149168
2012,"BH",692,"Bahrain",6.41698113207547,4.18,38,7.04545177481016
2013,"BH",692,"Bahrain",4.09961538461538,3.8,15.96,3.64431653213951
2014,"BH",692,"Bahrain",3.67576923076923,3.8,17.1,3.62436057708945
2015,"BH",692,"Bahrain",3.85846153846154,3.42,12.54,3.04872804375304
2016,"BH",692,"Bahrain",3.52961538461538,3.42,9.88,2.4119587366308
2012,"DZ",615,"Algeria",10.3150943396226,9.45,29.75,7.17766022049866
2013,"DZ",615,"Algeria",11.2538461538462,8.4,35,8.56379088539698
2014,"DZ",615,"Algeria",9.975,8.925,33.95,7.93398930390694
2015,"DZ",615,"Algeria",10.6951923076923,9.45,34.3,8.68301395454606
2016,"DZ",615,"Algeria",10.7086538461538,9.1,32.9,8.2319721099506
2012,"JO",663,"Jordan",6.35547169811321,5.04,23.24,4.93681093187376
2013,"JO",663,"Jordan",5.76692307692308,4.48,20.72,4.43560440361169
2014,"JO",663,"Jordan",5.61076923076923,4.62,17.92,3.96211166026987
2015,"JO",663,"Jordan",5.39538461538462,3.64,28,5.1355135915671
2016,"JO",663,"Jordan",4.57692307692308,3.78,10.64,2.88378124490687
2012,"IQ",645,"Iraq",12.5881132075472,11.61,27,6.46054863608698
2013,"IQ",645,"Iraq",8.27134615384615,7.29,22.95,5.20867716029521
2014,"IQ",645,"Iraq",5.81538461538462,4.86,14.04,3.36145653627246
2015,"IQ",645,"Iraq",4.93269230769231,4.86,13.77,2.88980161839272
2016,"IQ",645,"Iraq",4.76134615384615,3.645,14.85,3.55834397969449
2012,"LY",620,"Libya",6.33962264150943,4.56,24,5.58214528731636
2013,"LY",620,"Libya",4.24153846153846,3.6,15.12,4.00800736986886
2014,"LY",620,"Libya",2.83384615384615,2.64,8.16,2.42576218371581
2015,"LY",620,"Libya",3.39230769230769,3,15.6,3.71959127808663
2016,"LY",620,"Libya",4.11692307692308,2.4,17.52,4.62000998999919
2012,"YE",679,"Yemen",6.16754716981132,4.8,24,6.08880464006258
2013,"YE",679,"Yemen",3.31846153846154,2.64,10.56,2.99070414989801
2014,"YE",679,"Yemen",1.74,1.44,6.96,1.49606542794955
2015,"YE",679,"Yemen",2.23384615384615,1.8,7.92,2.06211594532066
2016,"YE",679,"Yemen",2.83384615384615,2.4,7.44,2.07983988245528
2012,"SD",625,"Sudan",3.71905660377359,4.14,23,4.67866321479797
2013,"SD",625,"Sudan",4.31692307692308,4.14,17.02,4.58455400720149
2014,"SD",625,"Sudan",5.25019230769231,5.29,16.33,3.82937740825341
2015,"SD",625,"Sudan",5.28115384615385,4.83,16.56,3.97197271767883
2016,"SD",625,"Sudan",6.21,5.98,19.55,4.35918682828823
2012,"SA",670,"Saudi Arabia",7.45660377358491,7.2,14,2.43606787782486
2013,"SA",670,"Saudi Arabia",6.86923076923077,6.6,14.4,2.510803204159
2014,"SA",670,"Saudi Arabia",6.87692307692308,6.4,17.4,2.77782644502364
2015,"SA",670,"Saudi Arabia",7.59615384615385,7.5,14.4,2.78750443864671
2016,"SA",670,"Saudi Arabia",8.35769230769231,7.6,20,4.0827396681134
2012,"LB",660,"Lebanon",3.8811320754717,3.57,17,3.98960363385857
2013,"LB",660,"Lebanon",3.54384615384615,2.635,11.05,3.01229191216631
2014,"LB",660,"Lebanon",3.64192307692308,2.21,13.6,3.20496369834236
2015,"LB",660,"Lebanon",4.12576923076923,3.74,12.24,2.63193162953829
2016,"LB",660,"Lebanon",4.34807692307692,4.335,11.56,2.95339222607253
2012,"EG",651,"Egypt",8.73962264150943,8.96,15.84,3.28550778317807
2013,"EG",651,"Egypt",8.02461538461539,7.76,14.72,3.05217534866108
2014,"EG",651,"Egypt",6.24,6,15.84,3.04816241654658
2015,"EG",651,"Egypt",5.52923076923077,5.04,13.92,2.64361743112954
2016,"EG",651,"Egypt",5.75076923076923,4.64,16,3.15488407304116
2012,"KW",690,"Kuwait",2.85566037735849,2.55,7.95,2.12864303962187
2013,"KW",690,"Kuwait",2.5875,2.1,7.95,1.86969838712653
2014,"KW",690,"Kuwait",1.92980769230769,1.8,6.6,1.66980859579963
2015,"KW",690,"Kuwait",2.23557692307692,1.8,10.95,2.15029265081823
2016,"KW",690,"Kuwait",2.47788461538462,2.025,15,2.33278873465708
2012,"TN",616,"Tunisia",3.12754716981132,2.24,14,2.5856950454229
2013,"TN",616,"Tunisia",2.70846153846154,2.52,7.28,1.77864608633997
2014,"TN",616,"Tunisia",2.09192307692308,1.96,5.46,1.44336349893062
2015,"TN",616,"Tunisia",2.38807692307692,1.75,8.26,1.8881768761256
2016,"TN",616,"Tunisia",2.34769230769231,2.24,7,1.62147429330879
2012,"OM",698,"Oman",2.61471698113208,1.95,13,3.39742244139333
2013,"OM",698,"Oman",1.395,1.43,4.81,1.41921063395446
2014,"OM",698,"Oman",1.5025,1.3,6.24,1.59744879325092
2015,"OM",698,"Oman",1.425,1.17,8.19,1.71751359271957
2016,"OM",698,"Oman",1.5925,1.105,6.63,1.74979984849809
2012,"QA",694,"Qatar",2.77811320754717,3.12,10.2,3.05237930940374
2013,"QA",694,"Qatar",3.49384615384615,2.76,10.68,2.98425551779252
2014,"QA",694,"Qatar",3.30461538461538,2.4,12,2.71648162117656
2015,"QA",694,"Qatar",2.97461538461538,2.04,9.96,2.50559879856423
2016,"QA",694,"Qatar",3.39923076923077,2.16,11.76,2.98445110804141
2012,"SY",652,"Syria",2.06924528301887,2.31,11,2.4481113984965
2013,"SY",652,"Syria",0.882115384615385,0,8.91,1.98077756225459
2014,"SY",652,"Syria",0.9625,0,5.83,1.45945715801404
2015,"SY",652,"Syria",0.8525,0,4.29,1.15920336912053
2016,"SY",652,"Syria",0.765769230769231,0,5.72,1.12915437065097
2012,"AE",696,"United Arab Emirates",1.83584905660377,1.26,7,1.54663335862405
2013,"AE",696,"United Arab Emirates",1.26673076923077,0.91,4.97,1.25459425697033
2014,"AE",696,"United Arab Emirates",1.27480769230769,1.085,4.9,0.96292342941693
2015,"AE",696,"United Arab Emirates",1.15634615384615,0.91,5.74,1.03097712807432
2016,"AE",696,"United Arab Emirates",1.12673076923077,0.91,3.99,0.826539493270982
