"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2015,"CV",402,"Cape Verde",18.9038461538462,12,76,17.753496883254
2016,"CV",402,"Cape Verde",16.6153846153846,10,88,17.9160940313274
2017,"CV",402,"Cape Verde",19.9433962264151,11,100,21.2660935387221
2018,"CV",402,"Cape Verde",20.5576923076923,14.5,100,23.4281659392283
2019,"CV",402,"Cape Verde",13.7115384615385,9.5,89,18.710735660558
2015,"MZ",541,"Mozambique",20.1394230769231,17.395,54.67,12.2710311523925
2016,"MZ",541,"Mozambique",22.5698076923077,21.3,58.93,13.3676952550872
2017,"MZ",541,"Mozambique",18.9154716981132,19.88,49.7,10.8261294607143
2018,"MZ",541,"Mozambique",20.7538461538462,19.17,47.57,11.9829756941117
2019,"MZ",541,"Mozambique",20.1667307692308,18.46,71,11.7182771137368
2015,"AO",540,"Angola",17.8511538461538,14.04,54,12.4668284020933
2016,"AO",540,"Angola",15.3173076923077,16.2,37.26,9.5113059896609
2017,"AO",540,"Angola",11.9411320754717,9.18,32.4,8.00505457156659
2018,"AO",540,"Angola",13.095,11.88,37.26,9.13152425907732
2019,"AO",540,"Angola",14.2165384615385,11.88,41.04,9.59431753483675
2015,"BR",140,"Brazil",9.55961538461538,10.35,14.7,2.84048184364421
2016,"BR",140,"Brazil",9.26538461538462,10.2,14.1,2.91748512541428
2017,"BR",140,"Brazil",9.87169811320755,10.2,20.7,3.2969903151027
2018,"BR",140,"Brazil",11.9192307692308,12.9,30,4.90190193026509
2019,"BR",140,"Brazil",9.28846153846154,9.75,13.2,2.86764601461868
2015,"PT",235,"Portugal",3.33173076923077,2.94,15.54,2.79836137006393
2016,"PT",235,"Portugal",3.21865384615385,2.94,10.5,2.20709553516776
2017,"PT",235,"Portugal",3.27283018867925,2.94,8.61,2.04285940003268
2018,"PT",235,"Portugal",4.96326923076923,3.57,21,4.82167317845362
2019,"PT",235,"Portugal",4.78355769230769,5.04,11.97,3.26507354157612
2015,"US",2,"United States",0.136826923076923,0.1125,0.39,0.109293761577497
2016,"US",2,"United States",0.0751923076923077,0.045,0.26,0.0626690774864407
2017,"US",2,"United States",0.0870754716981132,0.08,0.2,0.0576163869106577
2018,"US",2,"United States",0.0876923076923077,0.08,0.5,0.0792146595814774
2019,"US",2,"United States",0.0639423076923077,0.04,0.195,0.0486013852225482
