"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2012,"UG",500,"Uganda",38.1320754716981,34,100,17.6494037117068
2013,"UG",500,"Uganda",27.0769230769231,26,58,12.5148478935179
2014,"UG",500,"Uganda",21.9230769230769,20.5,45,9.99773730057065
2015,"UG",500,"Uganda",19.6538461538462,17.5,40,8.88242286189055
2016,"UG",500,"Uganda",18.6153846153846,17,43,9.04705313554672
2012,"ZM",551,"Zambia",22.177358490566,18.9,75.6,18.9461751925476
2013,"ZM",551,"Zambia",27.8653846153846,27.9,62.1,15.9470064142039
2014,"ZM",551,"Zambia",28.1423076923077,26.1,63.9,12.5141386103228
2015,"ZM",551,"Zambia",32.2442307692308,28.8,90,19.2028022205659
2016,"ZM",551,"Zambia",30.6173076923077,29.7,63,10.757992398793
2012,"ZW",552,"Zimbabwe",23.1809433962264,23.36,62.05,15.6580030242772
2013,"ZW",552,"Zimbabwe",24.2584615384615,20.075,57.67,13.1054548416427
2014,"ZW",552,"Zimbabwe",28.2032692307692,24.82,73,15.3759591725236
2015,"ZW",552,"Zimbabwe",30.7582692307692,30.295,56.94,12.7115790539075
2016,"ZW",552,"Zimbabwe",29.5790384615385,27.74,62.78,14.5688274871876
2012,"ZA",560,"South Africa",8.8611320754717,7.08,40.71,6.29255502111496
2013,"ZA",560,"South Africa",7.03461538461538,6.49,25.96,4.34636131861072
2014,"ZA",560,"South Africa",7.55653846153846,5.31,27.73,5.63737593128652
2015,"ZA",560,"South Africa",6.61480769230769,5.015,23.01,5.08522870111903
2016,"ZA",560,"South Africa",10.5519230769231,5.9,59,12.9540254987173
2012,"KE",501,"Kenya",30.2169811320755,31.5,50,9.06626748424019
2013,"KE",501,"Kenya",28.6923076923077,30,43.5,8.80850404948216
2014,"KE",501,"Kenya",22.8846153846154,22.75,47.5,7.40469868355684
2015,"KE",501,"Kenya",19.3942307692308,19.25,39,6.75142435114478
2016,"KE",501,"Kenya",17.1538461538462,17.5,27,4.97300404491784
2012,"TZ",510,"Tanzania",20.4860377358491,20.64,48,10.6439073109785
2013,"TZ",510,"Tanzania",12.4061538461538,12.24,30.24,6.27097082700296
2014,"TZ",510,"Tanzania",8.91692307692308,9.12,16.8,3.71726946934068
2015,"TZ",510,"Tanzania",7.79076923076923,7.2,15.84,3.60657017348749
2016,"TZ",510,"Tanzania",9.43384615384615,9.12,19.2,4.12241988416482
2012,"ET",530,"Ethiopia",12.2820754716981,12.22,34.78,9.16432219963975
2013,"ET",530,"Ethiopia",13.6209615384615,12.69,47,8.83196495348958
2014,"ET",530,"Ethiopia",13.7655769230769,14.805,24.44,5.94168339962824
2015,"ET",530,"Ethiopia",11.8313461538462,10.81,26.32,6.06961607754629
2016,"ET",530,"Ethiopia",12.1386538461538,11.28,29.61,6.14408883107191
2012,"NP",790,"Nepal",15.988679245283,15.96,38,8.34166051485781
2013,"NP",790,"Nepal",12.5473076923077,12.16,32.68,7.35173558683684
2014,"NP",790,"Nepal",10.7861538461538,11.02,23.56,4.95925126932865
2015,"NP",790,"Nepal",9.62423076923077,9.12,20.14,4.20176869675087
2016,"NP",790,"Nepal",9.12,8.36,23.94,4.53447102217893
2012,"GH",452,"Ghana",9.6977358490566,9.61,19.84,5.42529887213224
2013,"GH",452,"Ghana",10.1763461538462,10.075,18.29,5.25647463641919
2014,"GH",452,"Ghana",10.8142307692308,9.61,23.56,5.15107768893715
2015,"GH",452,"Ghana",10.7426923076923,10.075,22.94,5.64242234011718
2016,"GH",452,"Ghana",10.6532692307692,9.455,31,5.28696685390866
2012,"NZ",920,"New Zealand",13.9811320754717,14.4,30,5.78060605698631
2013,"NZ",920,"New Zealand",14.5211538461538,15.15,24,5.47118428368697
2014,"NZ",920,"New Zealand",14.5615384615385,15.6,26.4,6.10423041498894
2015,"NZ",920,"New Zealand",15.1557692307692,16.2,27,6.2499384612355
2016,"NZ",920,"New Zealand",12.8538461538462,13.8,22.2,4.92032445679967
2012,"AU",900,"Australia",18.3,19.8,30,6.15239165503327
2013,"AU",900,"Australia",17.7980769230769,18.75,27.3,5.62903852008791
2014,"AU",900,"Australia",18.6403846153846,19.5,30,6.23057796756888
2015,"AU",900,"Australia",19.2923076923077,21,30,6.43963968526331
2016,"AU",900,"Australia",18.9461538461538,19.2,29.1,6.07987556433748
2012,"NG",475,"Nigeria",13.5452830188679,13.2,21.9,3.74394721967933
2013,"NG",475,"Nigeria",13.9615384615385,13.65,30,5.53920620936468
2014,"NG",475,"Nigeria",14.0769230769231,13.65,25.2,4.12703261315503
2015,"NG",475,"Nigeria",14.4230769230769,13.65,24,4.55780371019129
2016,"NG",475,"Nigeria",13.6846153846154,13.5,24,4.29397136055294
2012,"CA",20,"Canada",14.6258490566038,15.93,21.06,3.56301483943145
2013,"CA",20,"Canada",14.0503846153846,14.85,19.71,3.48976765423473
2014,"CA",20,"Canada",16.0286538461538,15.66,27,3.59153090349634
2015,"CA",20,"Canada",16.2,17.01,22.41,3.28338598544426
2016,"CA",20,"Canada",15.1978846153846,16.2,19.44,3.04923862984179
2012,"JM",51,"Jamaica",11.6762264150943,10.26,27,7.46274290325334
2013,"JM",51,"Jamaica",8.55692307692308,7.02,24.84,6.63682405101739
2014,"JM",51,"Jamaica",7.32115384615385,8.37,19.17,5.09313018811832
2015,"JM",51,"Jamaica",8.1675,7.56,22.68,5.13956924837321
2016,"JM",51,"Jamaica",7.78326923076923,6.21,24.57,5.40786164153047
2012,"GB",200,"United Kingdom",5.45018867924528,5.72,8.32,1.55245028480543
2013,"GB",200,"United Kingdom",5.08,5.33,7.54,1.32520660616359
2014,"GB",200,"United Kingdom",5.05,5.33,7.8,1.28960550283456
2015,"GB",200,"United Kingdom",5.645,5.72,26,3.18281137287369
2016,"GB",200,"United Kingdom",4.975,5.33,7.02,1.19981616238881
2012,"KH",811,"Cambodia",9.09433962264151,8,25,5.87801199694969
2013,"KH",811,"Cambodia",5.62019230769231,5.25,16,4.04977921953759
2014,"KH",811,"Cambodia",4.46153846153846,3.625,12.5,2.74950290310412
2015,"KH",811,"Cambodia",3.69230769230769,2.875,11.75,2.57610407732191
2016,"KH",811,"Cambodia",2.93269230769231,3,6.5,1.49600397842689
