"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2013,"PS",NA,"Palestine",23.6153846153846,19.5,100,20.0618199926576
2014,"PS",NA,"Palestine",14.8846153846154,14,41,10.845897111945
2015,"PS",NA,"Palestine",6.67307692307692,0,36,9.75528243798954
2016,"PS",NA,"Palestine",2.96153846153846,0,20,6.76195104244718
2017,"PS",NA,"Palestine",6.18867924528302,0,28,8.19487786498743
2013,"MA",600,"Morocco",21.9192307692308,17.63,77.08,16.9098917386353
2014,"MA",600,"Morocco",22.0453846153846,17.63,82,19.6106426149359
2015,"MA",600,"Morocco",20.1688461538462,15.17,80.36,16.9606073760376
2016,"MA",600,"Morocco",21.0834615384615,19.68,56.58,14.9325814172502
2017,"MA",600,"Morocco",19.8192452830189,19.68,60.68,13.5273580127113
2013,"DZ",615,"Algeria",15.5011538461538,13.53,50.02,11.1505571220783
2014,"DZ",615,"Algeria",13.6719230769231,12.71,44.28,10.9241500837727
2015,"DZ",615,"Algeria",14.0661538461538,12.3,45.1,11.5742286667738
2016,"DZ",615,"Algeria",14.0661538461538,11.89,40.18,10.8571592272413
2017,"DZ",615,"Algeria",19.1384905660377,13.12,82,20.1776295966432
2013,"BH",692,"Bahrain",19.4788461538462,16.8,66.5,17.331308364429
2014,"BH",692,"Bahrain",18.9,16.1,70,15.0190858968338
2015,"BH",692,"Bahrain",20.2192307692308,20.65,68.6,15.8965039745338
2016,"BH",692,"Bahrain",16.1807692307692,14.35,48.3,11.5859454827828
2017,"BH",692,"Bahrain",13.9867924528302,14,53.2,10.9519938075193
2013,"JO",663,"Jordan",11.7946153846154,9.69,41.61,9.40172334255559
2014,"JO",663,"Jordan",12.1125,9.69,37.62,8.45437208507771
2015,"JO",663,"Jordan",11.8275,9.12,57,10.4341631333863
2016,"JO",663,"Jordan",9.52557692307692,7.41,21.66,5.99346847547527
2017,"JO",663,"Jordan",9.49641509433962,7.98,22.23,5.48543809846356
2013,"IQ",645,"Iraq",18.5463461538462,16.32,51,10.8163900739003
2014,"IQ",645,"Iraq",13.2796153846154,10.71,35.19,7.66762073216377
2015,"IQ",645,"Iraq",11.1219230769231,10.71,29.07,6.15493235606146
2016,"IQ",645,"Iraq",10.4157692307692,7.395,32.13,7.74464529654075
2017,"IQ",645,"Iraq",11.287358490566,9.69,40.29,8.49577115414654
2013,"SD",625,"Sudan",14.4830769230769,16.8,48,11.0400904973666
2014,"SD",625,"Sudan",12.8953846153846,11.52,35.04,9.65070320744504
2015,"SD",625,"Sudan",12.0092307692308,10.32,39.36,9.54406783134062
2016,"SD",625,"Sudan",14.6769230769231,13.92,47.04,9.98310681699124
2017,"SD",625,"Sudan",14.2369811320755,13.92,38.4,9.07516594145924
2013,"LY",620,"Libya",10.8476923076923,9.02,38.28,10.2142324033548
2014,"LY",620,"Libya",7.04,7.04,22,6.42779259521174
2015,"LY",620,"Libya",9.10461538461539,7.48,38.72,9.54793776348825
2016,"LY",620,"Libya",11.5753846153846,7.04,44,11.7779618832666
2017,"LY",620,"Libya",8.60075471698113,6.6,28.16,7.42984207541468
2013,"SA",670,"Saudi Arabia",11.9053846153846,11.44,23.32,4.36397393170736
2014,"SA",670,"Saudi Arabia",12.1169230769231,11,29.48,4.70958536056802
2015,"SA",670,"Saudi Arabia",12.7938461538462,11.88,27.72,4.65721205580442
2016,"SA",670,"Saudi Arabia",13.5553846153846,11.66,30.8,6.5448637132977
2017,"SA",670,"Saudi Arabia",14.1962264150943,13.2,44,6.33411405571665
2013,"YE",679,"Yemen",15.855,13.86,42,12.1695949470995
2014,"YE",679,"Yemen",10.815,9.45,24.36,7.04950436305318
2015,"YE",679,"Yemen",9.345,8.61,28.14,7.49053873818401
2016,"YE",679,"Yemen",11.0492307692308,9.24,31.5,7.73214270233231
2017,"YE",679,"Yemen",8.74075471698113,8.4,22.26,6.52590337072683
2013,"LB",660,"Lebanon",6.54576923076923,4.65,31,6.23505062204204
2014,"LB",660,"Lebanon",7.94673076923077,7.13,24.18,6.30219592017652
2015,"LB",660,"Lebanon",7.27903846153846,6.51,22.32,4.99878465998717
2016,"LB",660,"Lebanon",7.91692307692308,7.905,22.32,5.63124948293581
2017,"LB",660,"Lebanon",5.64433962264151,5.27,22.94,4.21529792241853
2013,"EG",651,"Egypt",12.8292307692308,11.78,23.25,5.12853105374539
2014,"EG",651,"Egypt",10.2657692307692,10.54,22.94,4.78231068366675
2015,"EG",651,"Egypt",9.11519230769231,8.215,24.49,4.37169168601661
2016,"EG",651,"Egypt",9.96769230769231,7.75,26.35,5.54829690010406
2017,"EG",651,"Egypt",8.80283018867924,7.13,31,5.92670273402781
2013,"TN",616,"Tunisia",10.6351923076923,9.28,28.42,7.17804618410303
2014,"TN",616,"Tunisia",9.39153846153846,8.555,25.23,6.60257447845836
2015,"TN",616,"Tunisia",9.63692307692308,8.12,27.84,6.9430663787022
2016,"TN",616,"Tunisia",9.4975,9.28,29,6.51273138537428
2017,"TN",616,"Tunisia",8.84226415094339,8.12,23.78,5.62780003523355
2013,"QA",694,"Qatar",7.03807692307692,5.22,23.2,5.52930412189438
2014,"QA",694,"Qatar",5.68846153846154,4.35,20.3,4.99798523509788
2015,"QA",694,"Qatar",5.54346153846154,3.77,18.27,4.68761065631078
2016,"QA",694,"Qatar",7.02134615384615,5.655,21.75,5.8984850261163
2017,"QA",694,"Qatar",10.7956603773585,10.15,29,6.15015713039855
2013,"KW",690,"Kuwait",6.525,5.22,22.62,4.79502663101644
2014,"KW",690,"Kuwait",4.94673076923077,4.64,16.24,4.09897247820401
2015,"KW",690,"Kuwait",4.84634615384615,4.35,27.26,5.07985912605587
2016,"KW",690,"Kuwait",4.80173076923077,4.35,29,4.59156076721573
2017,"KW",690,"Kuwait",4.58528301886792,4.06,23.49,4.71093188714112
2013,"OM",698,"Oman",3.80769230769231,3.5,13.5,4.00936874175856
2014,"OM",698,"Oman",3.98076923076923,3.25,15.5,4.20458612644823
2015,"OM",698,"Oman",3.47115384615385,2.75,25,4.88561660621524
2016,"OM",698,"Oman",3.125,2.75,13.75,3.65332912909448
2017,"OM",698,"Oman",2.82547169811321,2.5,12.5,3.08438409637829
2013,"SY",652,"Syria",2.57961538461538,0,19,4.78649569368249
2014,"SY",652,"Syria",3.16057692307692,3.515,12.35,3.63511437555665
2015,"SY",652,"Syria",3.47480769230769,3.325,17.86,3.63186253215739
2016,"SY",652,"Syria",3.75615384615385,2.28,14.25,4.09058275432547
2017,"SY",652,"Syria",2.71377358490566,2.28,7.22,2.41525379014862
2013,"AE",696,"United Arab Emirates",3.00461538461538,2.4,12,2.87950599081357
2014,"AE",696,"United Arab Emirates",2.56615384615385,2.22,10.32,1.94471647597939
2015,"AE",696,"United Arab Emirates",2.35153846153846,1.86,11.16,2.1204562814708
2016,"AE",696,"United Arab Emirates",2.40923076923077,1.92,7.8,1.77684656355219
2017,"AE",696,"United Arab Emirates",1.91320754716981,1.8,4.8,1.22204710595489
2013,"IL",666,"Israel",1.27846153846154,0.96,4.92,1.07931602273064
2014,"IL",666,"Israel",1.30846153846154,1.2,3.84,1.13151882071354
2015,"IL",666,"Israel",2.19923076923077,1.5,12,2.37239669181788
2016,"IL",666,"Israel",3.84923076923077,3.3,11.52,2.84863768345216
2017,"IL",666,"Israel",3.25358490566038,3.48,7.08,1.89833843778794
2013,"CH",225,"Switzerland",0.0396153846153846,0,0.5,0.0934305139402716
2014,"CH",225,"Switzerland",0.0442307692307692,0,0.325,0.0749534797906676
2015,"CH",225,"Switzerland",0.0394230769230769,0,0.36,0.0723394357651309
2016,"CH",225,"Switzerland",0.0483653846153846,0,0.325,0.0809182663995224
2017,"CH",225,"Switzerland",0.0483962264150943,0,0.29,0.0712375062251516
2013,"SE",380,"Sweden",0.0566346153846154,0,0.35,0.092798121356524
2014,"SE",380,"Sweden",0.0143269230769231,0,0.2,0.0502837911567138
2015,"SE",380,"Sweden",0.0779807692307692,0,0.5,0.121761014782915
2016,"SE",380,"Sweden",0.0805769230769231,0,0.32,0.108517884340414
2017,"SE",380,"Sweden",0.0704716981132076,0,0.295,0.0997027512492827
2013,"IR",630,"Iran",0.0561538461538462,0,0.48,0.123175370694394
2014,"IR",630,"Iran",0.0615384615384615,0,0.5,0.103694207590312
2015,"IR",630,"Iran",0.0443269230769231,0,0.32,0.0854459400597819
2016,"IR",630,"Iran",0.0383653846153846,0,0.235,0.0596782316033254
2017,"IR",630,"Iran",0.0361320754716981,0,0.18,0.0539287413508465
2013,"TR",640,"Turkey",0.0522115384615385,0,0.37,0.0843743610667948
2014,"TR",640,"Turkey",0.0965384615384615,0.09,0.305,0.0892151973201923
2015,"TR",640,"Turkey",0.0954807692307692,0.0825,0.26,0.0877901889164439
2016,"TR",640,"Turkey",0.0913461538461539,0.0825,0.5,0.0928530115269447
2017,"TR",640,"Turkey",0.0769811320754717,0.08,0.24,0.0733166185815482
2013,"GB",200,"United Kingdom",0.0643269230769231,0,0.455,0.0976991623288484
2014,"GB",200,"United Kingdom",0.0524038461538462,0,0.205,0.0660176030046962
2015,"GB",200,"United Kingdom",0.0615384615384615,0,0.33,0.0761354472952095
2016,"GB",200,"United Kingdom",0.0732692307692308,0,0.5,0.0970439793941468
2017,"GB",200,"United Kingdom",0.0691509433962264,0.075,0.305,0.07829146633584
2013,"DE",255,"Germany",0.0455769230769231,0,0.325,0.0854724691723911
2014,"DE",255,"Germany",0.0326923076923077,0,0.305,0.0706028768123366
2015,"DE",255,"Germany",0.0652884615384615,0,0.305,0.0896529991489981
2016,"DE",255,"Germany",0.116923076923077,0.135,0.405,0.11006750979247
2017,"DE",255,"Germany",0.084622641509434,0,0.5,0.110526924393856
2013,"FR",220,"France",0.0335576923076923,0,0.22,0.0554070192557354
2014,"FR",220,"France",0.0369230769230769,0,0.405,0.0809269450640869
2015,"FR",220,"France",0.0809615384615385,0,0.5,0.116240278790413
2016,"FR",220,"France",0.0464423076923077,0,0.485,0.0820648747343123
2017,"FR",220,"France",0.0383018867924528,0,0.2,0.0549470321539335
2013,"US",2,"United States",0.115096153846154,0.095,0.45,0.109721083039443
2014,"US",2,"United States",0.145,0.145,0.4,0.11654335219641
2015,"US",2,"United States",0.12625,0.1,0.49,0.139631430109807
2016,"US",2,"United States",0.08875,0.08,0.31,0.0777746556329472
2017,"US",2,"United States",0.0664150943396226,0,0.5,0.0970595443652749
2013,"IN",750,"India",0.0256730769230769,0,0.38,0.0901253421638488
2014,"IN",750,"India",0.0496153846153846,0,0.5,0.117180295781573
2015,"IN",750,"India",0.0400961538461538,0,0.375,0.0913702357713771
2016,"IN",750,"India",0.0490384615384615,0,0.35,0.0946616185215325
2017,"IN",750,"India",0.0200943396226415,0,0.14,0.0481632896233633
