"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2014,"CM",471,"Cameroon",3.82692307692308,0,19,7.08968085745991
2015,"CM",471,"Cameroon",3.61538461538462,0,40,9.10753587163356
2016,"CM",471,"Cameroon",5.90384615384615,0,64,12.8479182953849
2017,"CM",471,"Cameroon",7.47169811320755,7,100,14.4416648486045
2018,"CM",471,"Cameroon",4.98076923076923,0,27,7.09733555256487
2014,"BE",211,"Belgium",36.0207692307692,34.4,82.56,17.7858295485483
2015,"BE",211,"Belgium",37.4761538461538,39.13,75.68,18.1974671965091
2016,"BE",211,"Belgium",28.3303846153846,25.8,59.34,11.9789144752783
2017,"BE",211,"Belgium",31.5441509433962,28.38,86,15.4079576635385
2018,"BE",211,"Belgium",28.7934615384615,27.52,74.82,13.830946671216
2014,"SN",433,"Senegal",14.2615384615385,0,60.8,17.651774935429
2015,"SN",433,"Senegal",10.7846153846154,0,80,18.0786884026185
2016,"SN",433,"Senegal",11.9846153846154,8.4,56,14.0018960146843
2017,"SN",433,"Senegal",11.411320754717,0,52,13.3912953986099
2018,"SN",433,"Senegal",8.81538461538462,0,40.8,12.8698977648084
2014,"LU",212,"Luxembourg",14.355,0,66.3,18.2457764653503
2015,"LU",212,"Luxembourg",14.46,10.53,66.3,16.8169452356492
2016,"LU",212,"Luxembourg",6.375,0,64.74,13.3909023111171
2017,"LU",212,"Luxembourg",13.4218867924528,0,78,20.2432504474762
2018,"LU",212,"Luxembourg",15.21,16.38,51.48,16.7985188422705
2014,"NL",210,"Netherlands",16.4007692307692,14.49,69,9.80256786008563
2015,"NL",210,"Netherlands",13.4682692307692,13.455,26.22,4.9502492395774
2016,"NL",210,"Netherlands",10.4959615384615,9.66,24.15,4.54693573162315
2017,"NL",210,"Netherlands",10.8056603773585,10.35,20.7,4.05496301293667
2018,"NL",210,"Netherlands",9.69980769230769,8.625,21.39,3.98468563002601
2014,"DK",390,"Denmark",22.0215384615385,22.1,39.44,9.52681075055672
2015,"DK",390,"Denmark",20.5176923076923,19.72,38.08,8.91681615019679
2016,"DK",390,"Denmark",15.0384615384615,14.96,36.04,8.17293846036559
2017,"DK",390,"Denmark",14.228679245283,11.56,68,11.3815839842832
2018,"DK",390,"Denmark",10.3830769230769,10.88,27.88,5.89145926810093
2014,"CH",225,"Switzerland",28.0119230769231,27.06,50.16,9.48756979120504
2015,"CH",225,"Switzerland",26.235,25.74,54.12,11.4620347747017
2016,"CH",225,"Switzerland",22.2369230769231,21.78,43.56,8.26671699979812
2017,"CH",225,"Switzerland",18.3554716981132,16.5,40.26,8.07404258816671
2018,"CH",225,"Switzerland",18.6069230769231,17.16,66,9.46108801488177
2014,"NZ",920,"New Zealand",25.7180769230769,24.8,62,17.9149017868696
2015,"NZ",920,"New Zealand",24.6092307692308,24.8,53.94,13.7328159781889
2016,"NZ",920,"New Zealand",21.0442307692308,19.22,55.8,13.3379354821537
2017,"NZ",920,"New Zealand",19.1732075471698,17.98,48.36,12.0540851316034
2018,"NZ",920,"New Zealand",14.9038461538462,14.26,35.96,9.17143308960185
2014,"KE",501,"Kenya",19.0859615384615,18.3,54.9,13.443540217038
2015,"KE",501,"Kenya",15.3438461538462,14.03,50.63,11.9604567677624
2016,"KE",501,"Kenya",9.73653846153846,5.795,41.48,8.73342101840775
2017,"KE",501,"Kenya",12.3035849056604,10.37,61,9.16307894473577
2018,"KE",501,"Kenya",12.0709615384615,9.455,41.48,8.9905988501749
2014,"AT",305,"Austria",14.7346153846154,13.5,31.8,6.45937180868975
2015,"AT",305,"Austria",19.2576923076923,17.7,60,9.40032010622763
