"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2014,"NI",93,"Nicaragua",0.730769230769231,0,25,3.87609761616179
2015,"NI",93,"Nicaragua",0.442307692307692,0,12,2.23530900209381
2016,"NI",93,"Nicaragua",0.576923076923077,0,10,2.35435477898709
2017,"NI",93,"Nicaragua",0.433962264150943,0,12,2.21454487390719
2018,"NI",93,"Nicaragua",5.36538461538461,0,100,16.0855907339748
2014,"ES",230,"Spain",10.8617307692308,10.05,58.29,9.01279193781421
2015,"ES",230,"Spain",10.05,9.38,27.47,5.58517224618971
2016,"ES",230,"Spain",8.38788461538462,7.37,20.77,4.87043273695971
2017,"ES",230,"Spain",8.68471698113208,6.03,67,9.77564587749608
2018,"ES",230,"Spain",7.26692307692308,6.7,20.77,4.60455126018728
2014,"MX",70,"Mexico",12.7507692307692,11.84,28.8,6.53639279490078
2015,"MX",70,"Mexico",10.6584615384615,10.24,28.16,5.88194691811405
2016,"MX",70,"Mexico",9.37846153846154,9.92,28.8,6.16592768797962
2017,"MX",70,"Mexico",10.4694339622642,9.6,34.56,7.58515209905164
2018,"MX",70,"Mexico",12.6523076923077,10.88,64,10.4339402095098
2014,"CO",100,"Colombia",16.4998076923077,13.475,49,11.6403829682948
2015,"CO",100,"Colombia",15.4726923076923,13.475,41.65,12.0726412652392
2016,"CO",100,"Colombia",12.5703846153846,9.065,48.51,11.3567153773834
2017,"CO",100,"Colombia",11.898679245283,9.31,38.71,10.9741561858437
2018,"CO",100,"Colombia",12.4384615384615,9.065,39.2,10.7090852732924
2014,"HN",91,"Honduras",6.51634615384615,0,41.4,9.71681744655073
2015,"HN",91,"Honduras",4.59519230769231,0,21.6,5.79875966804823
2016,"HN",91,"Honduras",5.55576923076923,0,45,8.1760569493992
2017,"HN",91,"Honduras",6.75849056603774,7.2,31.95,7.88290345675774
2018,"HN",91,"Honduras",8.02211538461538,6.75,37.8,8.47453748788004
2014,"PE",135,"Peru",2.16153846153846,0,11.2,2.95562964634185
2015,"PE",135,"Peru",3.52307692307692,2.4,28,4.81307921432617
2016,"PE",135,"Peru",3.43846153846154,2.4,29.6,4.77461234834024
2017,"PE",135,"Peru",3.67547169811321,2.4,13.2,3.36045473458906
2018,"PE",135,"Peru",6.16923076923077,4.4,40,7.52401484559153
2014,"AR",160,"Argentina",6.05384615384615,2.8,40,8.1388070990456
2015,"AR",160,"Argentina",4.21538461538462,0,19.6,5.60417857461995
2016,"AR",160,"Argentina",4.76153846153846,0,30.8,6.49597624615797
2017,"AR",160,"Argentina",2.73207547169811,0,17.6,4.32860670357039
2018,"AR",160,"Argentina",2.40769230769231,0,15.2,3.57375214222494
2014,"EC",130,"Ecuador",4.365,0,29.25,8.02614807620545
2015,"EC",130,"Ecuador",5.9775,0,39,9.36755516161407
2016,"EC",130,"Ecuador",4.095,0,34.32,7.62580487555248
2017,"EC",130,"Ecuador",4.15018867924528,0,24.18,6.74203618254845
2018,"EC",130,"Ecuador",3.39,0,24.18,6.15895904115202
2014,"PA",95,"Panama",4.69807692307692,0,31.5,7.34766176985324
2015,"PA",95,"Panama",6.34038461538462,0,28,8.07120297701831
2016,"PA",95,"Panama",4.30769230769231,0,25.55,6.31695807141524
2017,"PA",95,"Panama",5.30283018867924,0,25.9,6.33928847540919
2018,"PA",95,"Panama",7.55192307692308,7.35,35,8.23870564707011
2014,"US",2,"United States",0.124615384615385,0,1,0.199543218950835
2015,"US",2,"United States",0.0921153846153846,0,0.66,0.193525967639564
2016,"US",2,"United States",0.0763461538461538,0,0.5,0.135241669616296
2017,"US",2,"United States",0.0547169811320755,0,0.26,0.102198972100523
2018,"US",2,"United States",0.0707692307692308,0,0.64,0.146579914011278
