"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2014,"BR",140,"Brazil",22.1538461538462,19,73,13.1944501336285
2015,"BR",140,"Brazil",30,29,78,14.4480136364559
2016,"BR",140,"Brazil",22.4807692307692,20.5,60,12.249834548087
2017,"BR",140,"Brazil",19.9433962264151,16,100,14.2091724090998
2018,"BR",140,"Brazil",27.0192307692308,25,65,14.4988037161899
2014,"PT",235,"Portugal",1.4725,0,19,3.96550957336766
2015,"PT",235,"Portugal",0.588269230769231,0,10.64,2.40193445009728
2016,"PT",235,"Portugal",0.789230769230769,0,11.21,2.77114179493979
2017,"PT",235,"Portugal",2.16528301886792,0,19,4.45423376980287
2018,"PT",235,"Portugal",1.90365384615385,0,9.69,3.7139905227825
