"year","ISO","CCODE","location","hits_mean","hits_median","hits_max","hits_sd"
2015,"LY",620,"Libya",6.05769230769231,0,100,19.6403081537449
2016,"LY",620,"Libya",1.61538461538462,0,42,8.15572419249648
2017,"LY",620,"Libya",4.22641509433962,0,50,13.2659794927215
2018,"LY",620,"Libya",4,0,43,12.3875332650273
2019,"LY",620,"Libya",9.42307692307692,0,86,19.3688107420821
2015,"LB",660,"Lebanon",1.52307692307692,0,20.79,5.33117451594459
2016,"LB",660,"Lebanon",2.36076923076923,0,33.66,6.91515863914378
2017,"LB",660,"Lebanon",3.02603773584906,0,19.8,6.76600164272208
2018,"LB",660,"Lebanon",3.67442307692308,0,23.76,8.14804810343726
2019,"LB",660,"Lebanon",6.13038461538462,0,99,16.5426954393228
2015,"TN",616,"Tunisia",5.94730769230769,0,84.6,18.0579820073556
2016,"TN",616,"Tunisia",6.95961538461538,0,63.92,14.9837477918038
2017,"TN",616,"Tunisia",10.1981132075472,0,94,18.8121042311147
2018,"TN",616,"Tunisia",8.31538461538461,0,59.22,16.5894970862489
2019,"TN",616,"Tunisia",8.27923076923077,0,88.36,19.2418049626383
2015,"SD",625,"Sudan",5.85615384615385,0,63.48,13.6786382985061
2016,"SD",625,"Sudan",7.13,0,55.2,13.0818428275494
2017,"SD",625,"Sudan",10.8143396226415,0,70.84,18.3059067295267
2018,"SD",625,"Sudan",11.4469230769231,0,64.4,18.9267926639192
2019,"SD",625,"Sudan",12.8269230769231,0,92,20.4491690744906
2015,"MA",600,"Morocco",2.13884615384615,0,11.62,3.04560863800116
2016,"MA",600,"Morocco",2.96884615384615,0,83,11.5223449842752
2017,"MA",600,"Morocco",2.59962264150943,0,19.92,3.82797243090715
2018,"MA",600,"Morocco",4.11807692307692,0,83,11.6129783784134
2019,"MA",600,"Morocco",2.61769230769231,0,38.18,6.0108537827489
2015,"DZ",615,"Algeria",11.325,0,59.8,17.1217540218376
2016,"DZ",615,"Algeria",7.5625,0,63.05,14.1444920167451
2017,"DZ",615,"Algeria",13.0735849056604,15.6,61.75,14.4507173224057
2018,"DZ",615,"Algeria",15.8,20.15,65,16.5625818532939
2019,"DZ",615,"Algeria",8.125,0,41.6,11.9192154137104
2015,"JO",663,"Jordan",5.28192307692308,0,62,11.6487361998111
2016,"JO",663,"Jordan",3.19538461538462,0,39.68,8.54909477183391
2017,"JO",663,"Jordan",2.65547169811321,0,39.68,7.90383319030362
2018,"JO",663,"Jordan",2.21769230769231,0,38.44,7.27646181402198
2019,"JO",663,"Jordan",1.71692307692308,0,18.6,5.31732851192878
2015,"EG",651,"Egypt",5.14980769230769,4.27,61,9.49430283047694
2016,"EG",651,"Egypt",4.24653846153846,4.27,15.86,4.41526446906921
2017,"EG",651,"Egypt",5.2022641509434,4.27,27.45,6.24904135463667
2018,"EG",651,"Egypt",6.19384615384615,4.27,39.65,7.00460161183869
2019,"EG",651,"Egypt",4.76269230769231,3.66,19.52,5.06349492392809
2015,"IQ",645,"Iraq",3.88153846153846,0,26.1,6.98604979257764
2016,"IQ",645,"Iraq",4.495,0,52.2,10.035301513686
2017,"IQ",645,"Iraq",5.15433962264151,0,25.52,6.91211575908952
2018,"IQ",645,"Iraq",7.03807692307692,0,55.1,10.4223126104924
2019,"IQ",645,"Iraq",5.49884615384615,0,58,10.3667631898626
2015,"SA",670,"Saudi Arabia",1.58769230769231,0,18.24,3.70472121434503
2016,"SA",670,"Saudi Arabia",2.69538461538462,0,12,3.76053524639333
2017,"SA",670,"Saudi Arabia",3.24679245283019,0,24,5.17952023824635
2018,"SA",670,"Saudi Arabia",3.42,0,12.24,4.23414690345056
2019,"SA",670,"Saudi Arabia",3.05076923076923,0,12.24,4.29202353946812
2015,"AE",696,"United Arab Emirates",1.41153846153846,0,15.2,3.60270344276779
2016,"AE",696,"United Arab Emirates",0.746153846153846,0,6.8,2.08754115032462
2017,"AE",696,"United Arab Emirates",1.44150943396226,0,20,3.51969371275969
2018,"AE",696,"United Arab Emirates",0.723076923076923,0,12.4,2.36681430508418
2019,"AE",696,"United Arab Emirates",1.54230769230769,0,17.4,3.25114436286286
2015,"TR",640,"Turkey",0.152307692307692,0,2,0.411751949813188
2016,"TR",640,"Turkey",0.142307692307692,0,1.32,0.366962173530751
2017,"TR",640,"Turkey",0.104528301886792,0,0.98,0.295651601341693
2018,"TR",640,"Turkey",0.101923076923077,0,1.72,0.332105809158198
2019,"TR",640,"Turkey",0.153846153846154,0,1.76,0.418878773450819
2015,"FR",220,"France",0.0434615384615385,0,0.58,0.152056292664142
2016,"FR",220,"France",0.0211538461538462,0,0.57,0.106874561733377
2017,"FR",220,"France",0.0552830188679245,0,0.51,0.156249354135095
2018,"FR",220,"France",0.0192307692307692,0,1,0.138675049056307
2019,"FR",220,"France",0.0411538461538462,0,0.46,0.127550894819404
2015,"US",2,"United States",0.0579807692307692,0,0.5,0.123599049806712
2016,"US",2,"United States",0.0129807692307692,0,0.23,0.0529822354189111
2017,"US",2,"United States",0.0256603773584906,0,0.205,0.066441397948819
2018,"US",2,"United States",0.0146153846153846,0,0.195,0.0511423058235274
2019,"US",2,"United States",0.0271153846153846,0,0.405,0.0801918420001597
